алл. 1 Мая, д. 2/4
ул. Карьерная, д. 3/8 стр. 852
ул. Карьерная, д. 629
ул. Карьерная, д. 920 стр. 7/1
ул. Кедровая, д. 19 к. 91
ул. Кедровая, д. 2
ул. Кирова, д. 151 стр. 666
ул. Клубная, д. 73 стр. 370
ул. Колхозная, д. 3/1 к. 5
ул. Комарова, д. 947
ул. Коминтерна, д. 4/7 стр. 850
ул. Коммунаров, д. 3 стр. 72
ул. Коммунистическая, д. 97 стр. 391
ул. Коммуны, д. 3 стр. 860
ул. Коммуны, д. 32 стр. 4
ул. Кооперативная, д. 308 стр. 52
ул. Короленко, д. 4
ул. Короленко, д. 431
ул. Космодемьянской, д. 2
ул. Кочубея, д. 194
ул. Кочубея, д. 356 к. 403
ул. Кошевого, д. 7/7 к. 6/1
ул. Красная, д. 6 стр. 393
ул. Краснодарская, д. 41 стр. 2/7
ул. Краснознаменная, д. 3 стр. 886
ул. Краснознаменная, д. 9/6 стр. 14
ул. Краснопартизанская, д. 3/9
ул. Красных Партизан, д. 274 к. 8/2
ул. Крестьянская, д. 43 к. 4/4
ул. Кузнецова, д. 111 к. 9/1
ул. Кузнецова, д. 748 стр. 80
ул. Куйбышева, д. 982
ул. Культуры, д. 5 стр. 6
ул. Культуры, д. 9
ул. Курортная, д. 8 к. 53
ул. Курская, д. 4 к. 8
ул. Курчатова, д. 4 к. 613
ул. Кутузова, д. 3/9 к. 392
ул. Кутузова, д. 450 к. 58
ул. Л.Толстого, д. 9/8 к. 3/1
ул. Лазо, д. 40 к. 5
ул. Ленинградская, д. 3
ул. Ленинская, д. 88
ул. Леонова, д. 774
ул. Лермонтова, д. 32 к. 1
ул. Локомотивная, д. 58 стр. 2
ул. Луначарского, д. 29 к. 1
ул. Луначарского, д. 52
ул. М.Горького, д. 36 стр. 317
ул. Максима Горького, д. 7
ул. Максима Горького, д. 9/6 стр. 62
ул. Маркса Карла, д. 900 к. 224
ул. Медицинская, д. 61 стр. 101
ул. Мелиоративная, д. 324 к. 3
ул. Механическая, д. 611 стр. 5
ул. Минина, д. 245 стр. 5/5
ул. Минина, д. 27 стр. 462
ул. Мира, д. 65 стр. 6/8
ул. Мостовая, д. 48
ул. Мусы Джалиля, д. 227 стр. 21
ул. Нагорная, д. 85 стр. 9
ул. Нахимова, д. 2/8 стр. 6
ул. Нахимова, д. 51 стр. 3
ул. Нахимова, д. 73
ул. Нахимова, д. 9
ул. Невского, д. 24
ул. Невского, д. 751 стр. 59
ул. Некрасова, д. 3
ул. Некрасова, д. 7/7 стр. 4/3
ул. Нефтяников, д. 6 к. 602
ул. Нижняя, д. 12
ул. Нижняя, д. 19 стр. 9
ул. Никитина, д. 97 стр. 5
ул. Новоселов, д. 91
ул. Овражная, д. 556 стр. 78
ул. Огородная, д. 7 к. 20
ул. Одесская, д. 5 стр. 9/7
ул. Озерная, д. 1/3
ул. Озерная, д. 508 к. 53
ул. Олимпийская, д. 7
ул. Ореховая, д. 5/4
ул. Осенняя, д. 71 стр. 416
ул. Осипенко, д. 82
ул. Осипенко, д. 822 стр. 7
ул. Островского, д. 450 стр. 255
ул. Отрадная, д. 43
ул. Отрадная, д. 5/7
ул. Павлика Морозова, д. 1/6 к. 92
ул. Павлика Морозова, д. 195 к. 8
ул. Павлика Морозова, д. 7
ул. Павлика Морозова, д. 71
ул. Павлова, д. 4 стр. 2/3
ул. Первомайская, д. 42 к. 8
ул. Песчаная, д. 10 к. 31
ул. Плеханова, д. 8/6 к. 5
ул. Пограничная, д. 8/4 стр. 325
ул. Подгорная, д. 3/8 к. 7/5
ул. Подстанция, д. 72
ул. Портовая, д. 848 к. 85
ул. Поселковая, д. 4/9
ул. Прибрежная, д. 220 к. 662
ул. Прибрежная, д. 9/2 к. 2
ул. Привольная, д. 17 к. 6
ул. Привольная, д. 64 стр. 80
ул. Пригородная, д. 2/9 к. 4
ул. Пригородная, д. 233
ул. Пролетарская, д. 7 стр. 2/9
ул. Пролетарская, д. 9/4 стр. 87
ул. Просвещения, д. 95 к. 2/2
ул. Просторная, д. 502 к. 766
ул. Прохладная, д. 8/3 стр. 166
ул. Пугачева, д. 5/9 к. 6/9
ул. Путевая, д. 486 стр. 3
ул. Путейская, д. 3 стр. 3
ул. Пушкина, д. 7/5
ул. Р.Люксембург, д. 593 к. 468
ул. Рабочая, д. 14 к. 9
ул. Раздольная, д. 8
ул. Раздольная, д. 89 стр. 61
ул. Репина, д. 2 стр. 2
ул. Репина, д. 7/1 к. 38
ул. Речная, д. 530
ул. Российская, д. 8/9
ул. Рылеева, д. 1/1 стр. 572
ул. Санаторная, д. 5 к. 1
ул. Саратовская, д. 365 к. 9
ул. Северная, д. 385 стр. 35
ул. Северная, д. 7 стр. 376
ул. Седова, д. 772 стр. 5
ул. Сельская, д. 8 стр. 9
ул. Семашко, д. 404
ул. Серова, д. 550 к. 40
ул. Сибирская, д. 762
ул. Слободская, д. 4 к. 1
ул. Слободская, д. 4/4 стр. 5
ул. Смоленская, д. 904 к. 4
ул. Совхозная, д. 394 к. 7
ул. Спартака, д. 505
ул. Спартака, д. 7/4
ул. Сплавная, д. 48 к. 7/1
ул. Ставропольская, д. 14
ул. Ставропольская, д. 2 к. 463
ул. Ставропольская, д. 6
ул. Станиславского, д. 647
ул. Станиславского, д. 997 стр. 6
ул. Стахановская, д. 3/9 стр. 99
ул. Степная, д. 7/2 стр. 66
ул. Строителей, д. 29
ул. Строительная, д. 170
ул. Строительная, д. 469
ул. Строительная, д. 5 к. 7/8
ул. Суворова, д. 64
ул. Театральная, д. 73 к. 3
ул. Театральная, д. 911 к. 6/7
ул. Тельмана, д. 4
ул. Тенистая, д. 3
ул. Тенистая, д. 61 к. 9/2
ул. Тепличная, д. 119
ул. Тепличная, д. 578
ул. Тепличная, д. 7/5 стр. 96
ул. Терешковой, д. 75 стр. 441
ул. Техническая, д. 5/3
ул. Тимирязева, д. 36 к. 82
ул. Тимирязева, д. 5/1
ул. Толбухина, д. 5/9 стр. 2/3
ул. Толстого, д. 5 стр. 789
ул. Тополиная, д. 2/1 к. 285
ул. Торговая, д. 208 к. 861
ул. Транспортная, д. 883
ул. Троицкая, д. 6/1
ул. Троицкая, д. 8/6 к. 22
ул. Тупиковая, д. 89
ул. Тюленина, д. 1
ул. Тюленина, д. 70
ул. Ударная, д. 520 к. 98
ул. Ударная, д. 90 стр. 8/8
ул. Украинская, д. 2
ул. Украинская, д. 6/3 к. 7
ул. Ульянова, д. 8/1 к. 9/9
ул. Уральская, д. 6/8 стр. 2/3
ул. Уральская, д. 600 стр. 82
ул. Урицкого, д. 9/8 к. 3/1
ул. Урожайная, д. 204 стр. 89
ул. Фадеева, д. 374 к. 7
ул. Фадеева, д. 84 к. 6/3
ул. Фестивальная, д. 2 стр. 98
ул. Фестивальная, д. 89 стр. 730
ул. Флотская, д. 18
ул. Фрунзе, д. 940
ул. Фурманова, д. 149 стр. 1/6
ул. Харьковская, д. 3 стр. 369
ул. Челюскинцев, д. 642 стр. 564
ул. Чехова, д. 4/3 к. 7/2
ул. Чкалова, д. 347 к. 8
ул. Широкая, д. 4/5 стр. 5/9
ул. Шишкина, д. 5 к. 7/7
ул. Школьная, д. 7
ул. Щетинкина, д. 26 стр. 5
ул. Энгельса, д. 228 стр. 7
ул. Энергетическая, д. 7/9 стр. 34
ул. Ярославская, д. 6 к. 6
ш. 40 лет Победы, д. 9
ш. 50 лет ВЛКСМ, д. 994 к. 8/7
ш. 8-е Марта, д. 6/2 стр. 4
ш. 8-е Марта, д. 896 стр. 3
ш. 9 Января, д. 43 стр. 6/6
ш. 9 Января, д. 6/5 к. 7/2
ш. 9 мая, д. 16 к. 1
ш. Абрикосовое, д. 72 к. 8
ш. Абрикосовое, д. 8
ш. Азина, д. 64 стр. 8/1
ш. Ангарское, д. 506
ш. Ангарское, д. 803
ш. Бабушкина, д. 5
ш. Балтийское, д. 2/3 стр. 79
ш. Балтийское, д. 8/8
ш. Баумана, д. 4 стр. 4/6
ш. Безымянное, д. 5/5
ш. Безымянное, д. 9
ш. Белорусское, д. 7/2
ш. Береговое, д. 9/8 стр. 194
ш. Березовое, д. 9/6
ш. Болотное, д. 77
ш. Большое, д. 43 к. 75
ш. Боровое, д. 5/7 стр. 1
ш. Бригадное, д. 6
ш. Бригадное, д. 9 стр. 8
ш. Буденного, д. 57 стр. 9
ш. Вавилова, д. 90
ш. Васильковое, д. 6/7
ш. Виноградное, д. 39 к. 899
ш. Владимирское, д. 1 к. 9
ш. Владимирское, д. 9 к. 42
ш. Водников, д. 72 стр. 444
ш. Войкова, д. 7/2 к. 4
ш. Войкова, д. 9/9 стр. 9
ш. Волгоградское, д. 25
ш. Волгоградское, д. 449
ш. Волкова, д. 7/2 стр. 78
ш. Володарского, д. 9 стр. 3
ш. Вольное, д. 4 к. 91
ш. Ворошилова, д. 12 к. 7/6
ш. Высоковольтное, д. 7
ш. Высоцкого, д. 248 к. 14
ш. Гагарина, д. 24
ш. Гастелло, д. 2/8
ш. Гастелло, д. 38
ш. Гафури, д. 2
ш. Глинки, д. 19 к. 6
ш. Гоголя, д. 686 к. 7
ш. Гончарова, д. 1 к. 99
ш. Гончарова, д. 22
ш. Горького, д. 9/1 стр. 6
ш. Гражданское, д. 81 к. 263
ш. Громова, д. 3/7 стр. 410
ш. Громова, д. 705 стр. 2/4
ш. ДОС, д. 6/2 к. 4
ш. Дальневосточное, д. 1 стр. 8
ш. Дальнее, д. 3/4
ш. Дачное, д. 99 стр. 5
ш. Декабристов, д. 3
ш. Деповское, д. 5
ш. Деповское, д. 510 стр. 883
ш. Депутатское, д. 407 стр. 54
ш. Детское, д. 78 стр. 7/2
ш. Добролюбова, д. 96 к. 41
ш. Докучаева, д. 4/9
ш. Докучаева, д. 6/5
ш. Донское, д. 86 к. 9
ш. Дорожное, д. 467 стр. 733
ш. Дружбы, д. 6/6
ш. Енисейское, д. 756 к. 543
ш. Жданова, д. 8
ш. Журавлева, д. 4/6
ш. Заливное, д. 692 к. 793
ш. Заовражное, д. 2 к. 4
ш. Запорожское, д. 65 стр. 47
ш. Запорожское, д. 8/5
ш. Заречное, д. 9/6
ш. Зои Космодемьянской, д. 6 к. 354
ш. Иванова, д. 25 к. 20
ш. Индустриальное, д. 7 к. 7
ш. Интернациональное, д. 574 стр. 3
ш. Кавказское, д. 498 к. 2/5
ш. Казачье, д. 96 к. 1
ш. Калинина, д. 793
ш. Калинина, д. 91 стр. 94
ш. Калужское, д. 6
ш. Каштановое, д. 42 стр. 66
ш. Кедровое, д. 6
ш. Кедровое, д. 71 стр. 1/1
ш. Кедровое, д. 745 к. 973
ш. Киевское, д. 8
ш. Клары Цеткин, д. 174 к. 387
ш. Клары Цеткин, д. 732 стр. 26
ш. Клубное, д. 9/9
ш. Колхозное, д. 1 к. 5
ш. Колхозное, д. 377 стр. 453
ш. Коминтерна, д. 8 стр. 60
ш. Коммуны, д. 90 к. 304
ш. Комсомольское, д. 414 к. 691
ш. Кооперативное, д. 745
ш. Космическое, д. 4
ш. Космодемьянской, д. 6/8 к. 5
ш. Котовского, д. 39 стр. 4/7
ш. Котовского, д. 648 к. 6
ш. Крайнее, д. 1/7 к. 697
ш. Крайнее, д. 5 к. 8/4
ш. Красноармейское, д. 753
ш. Красногвардейское, д. 709 стр. 1
ш. Крупской, д. 4/5 стр. 17
ш. Крупской, д. 6/7 к. 72
ш. Крылова, д. 4/6 стр. 94
ш. Кузнецова, д. 180 стр. 50
ш. Куйбышева, д. 54 стр. 6/2
ш. Культуры, д. 4 стр. 5/7
ш. Культуры, д. 91 стр. 3/9
ш. Курганное, д. 5 к. 7/5
ш. Курганное, д. 9/7
ш. Кутузова, д. 627 стр. 67
ш. Кутузова, д. 8 к. 5
ш. Л.Толстого, д. 3
ш. Л.Толстого, д. 87 стр. 945
ш. Лазурное, д. 24 стр. 1/4
ш. Лазурное, д. 42 к. 36
ш. Ленина, д. 434 стр. 684
ш. Лесозаводское, д. 6 стр. 584
ш. Ломоносова, д. 365
ш. Луговое, д. 2 стр. 35
ш. Луговое, д. 3/4 стр. 9/6
ш. Лунное, д. 1/4 стр. 892
ш. Льва Толстого, д. 9 стр. 233
ш. М.Горького, д. 77
ш. Магистральное, д. 4 к. 306
ш. Магистральное, д. 8
ш. Майское, д. 77
ш. Макаренко, д. 41 стр. 4/3
ш. Макарова, д. 6
ш. Максима Горького, д. 408 к. 660
ш. Маркса Карла, д. 46
ш. Марта 8, д. 1 стр. 721
ш. Матросова, д. 64 к. 1
ш. Машиностроителей, д. 433
ш. Мая 1, д. 5 стр. 4/6
ш. Мелиоративное, д. 21 стр. 23
ш. Мелиораторов, д. 80
ш. Металлистов, д. 3
ш. Металлургов, д. 127 к. 5/4
ш. Металлургов, д. 5/7 к. 82
ш. Микрорайон, д. 39
ш. Морозова, д. 925
ш. Моховое, д. 78
ш. Мусы Джалиля, д. 26
ш. Мусы Джалиля, д. 34 к. 8/9
ш. Мусы Джалиля, д. 9/5 стр. 6/8
ш. Мусы Джалиля, д. 9/7 к. 5
ш. Набережное, д. 158 стр. 8
ш. Набережное, д. 4/5
ш. Нахимова, д. 3 к. 3
ш. Нижнее, д. 463 к. 7
ш. Никитина, д. 187 стр. 4
ш. Николаева, д. 17
ш. Новгородское, д. 268
ш. Новоселов, д. 6/8 к. 552
ш. Овражное, д. 252
ш. Октябрьское, д. 6
ш. Октябрьское, д. 7
ш. Октября, д. 327 к. 4
ш. Ольховое, д. 7/7 стр. 7/7
ш. Омское, д. 2/7 к. 28
ш. Орджоникидзе, д. 17
ш. Ореховое, д. 48 к. 32
ш. Ореховое, д. 5
ш. Осипенко, д. 8 к. 35
ш. Островского, д. 2/4 стр. 1
ш. Островского, д. 3/7
ш. Отрадное, д. 4 к. 8
ш. Павлова, д. 1
ш. Панфилова, д. 4/5 к. 35
ш. Пархоменко, д. 7 стр. 21
ш. Песочное, д. 1 стр. 6
ш. Песочное, д. 738 стр. 581
ш. Песочное, д. 78 к. 16
ш. Пионерское, д. 3 к. 51
ш. Пионерское, д. 9 к. 30
ш. Пограничное, д. 22
ш. Пограничное, д. 4/8 стр. 3/5
ш. Пограничное, д. 5/5
ш. Подгорное, д. 150 к. 916
ш. Пожарского, д. 1
ш. Пожарского, д. 7/6 стр. 475
ш. Покровское, д. 54 стр. 2/7
ш. Попова, д. 98
ш. Портовое, д. 457 к. 8/4
ш. Почтовое, д. 44 к. 56
ш. Привокзальное, д. 553 к. 3
ш. Пригородное, д. 6/9
ш. Придорожное, д. 97
ш. Приозерное, д. 1/3
ш. Проезжее, д. 7 к. 438
ш. Проезжее, д. 733 стр. 9/7
ш. Производственное, д. 176
ш. Пролетарское, д. 8/4
ш. Просторное, д. 3
ш. Профсоюзное, д. 3 к. 4
ш. Прудное, д. 173 к. 275
ш. Пугачева, д. 27
ш. Путевое, д. 2/8 к. 81
ш. Пушкинское, д. 2/5
ш. Р.Люксембург, д. 23 к. 5/8
ш. Рабочее, д. 62
ш. Радищева, д. 19 стр. 761
ш. Радужное, д. 2
ш. Раздольное, д. 425 к. 417
ш. Разина, д. 6/5 стр. 556
ш. Революции, д. 49 стр. 6
ш. Революционное, д. 6/4 стр. 9/5
ш. Репина, д. 3 к. 5/1
ш. Репина, д. 407 стр. 435
ш. Республиканское, д. 15 к. 44
ш. Речное, д. 2/9 к. 746
ш. Речное, д. 5 стр. 727
ш. Российское, д. 54 стр. 3/3
ш. Российское, д. 781 стр. 145
ш. Саратовское, д. 9/1 к. 80
ш. Свердлова, д. 94
ш. Светлое, д. 66 к. 93
ш. Седова, д. 3 стр. 5/4
ш. Сельское, д. 69
ш. Сельское, д. 8/5 к. 654
ш. Семашко, д. 6/5
ш. Семашко, д. 866 к. 8
ш. Серафимовича, д. 451 к. 6/6
ш. Славянское, д. 9 стр. 27
ш. Смоленское, д. 4/4 к. 31
ш. Советское, д. 3 к. 49
ш. Спортивное, д. 74
ш. Ставропольское, д. 53
ш. Ставропольское, д. 9/5 к. 2
ш. Станционное, д. 558 стр. 3
ш. Строительное, д. 1/8 к. 3/3
ш. Таманское, д. 171 стр. 668
ш. Таманское, д. 9/2
ш. Техническое, д. 18 стр. 8/6
ш. Тихое, д. 1 к. 6
ш. Тихое, д. 3/4 стр. 8/8
ш. Тихое, д. 910 к. 967
ш. Толстого, д. 46 стр. 46
ш. Толстого, д. 7 стр. 6/9
ш. Торговое, д. 940 к. 2
ш. Транспортное, д. 1/7 стр. 584
ш. Транспортное, д. 4/8
ш. Транспортное, д. 7 стр. 47
ш. Тукая, д. 5
ш. Тупиковое, д. 1 к. 53
ш. Тупиковое, д. 324 к. 6
ш. Тупиковое, д. 85
ш. Тюленина, д. 32 стр. 8/1
ш. Тюленина, д. 4/2 стр. 2
ш. Ульянова, д. 2 стр. 5
ш. Ульянова, д. 710 стр. 48
ш. Ульянова, д. 886 стр. 7/6
ш. Фадеева, д. 1/6
ш. Фадеева, д. 3
ш. Фадеева, д. 4/2 к. 1
ш. Февральское, д. 3 стр. 692
ш. Фестивальное, д. 54 к. 269
ш. Физкультурное, д. 4 к. 2
ш. Харьковское, д. 35 стр. 623
ш. Харьковское, д. 8/3 к. 19
ш. Химиков, д. 6/1 к. 4
ш. Хуторское, д. 2/9
ш. Центральное, д. 65
ш. Циолковского, д. 379 стр. 40
ш. Циолковского, д. 5 стр. 7
ш. Чайкиной, д. 5 стр. 71
ш. Черноморское, д. 4
ш. Черняховского, д. 23
ш. Шаумяна, д. 3/9 к. 469
ш. Шоссейное, д. 865 к. 4
ш. Шоссейное, д. 9/5
ш. Щербакова, д. 3
ш. Щербакова, д. 95 стр. 1/8
ш. Щетинкина, д. 5/5 к. 6/8
ш. Щетинкина, д. 9 стр. 9/2
ш. Щорса, д. 4
ш. Щорса, д. 98
ш. Элеваторное, д. 2 стр. 92
ш. Энгельса, д. 934 к. 802
ш. Юбилейное, д. 2
ш. Юности, д. 4
ш. Ярославское, д. 23 к. 399
ш. Ярославское, д. 3 к. 1
ш. Ясное, д. 731
