Borgo Adelasia, 6 Piano 0
Viale Saverio, 99
Viale Sbarbaro, 39 Piano 0
Viale Scarfoglio, 80 Appartamento 96
Viale Scarlatti, 327
Viale Scialpi, 58 Piano 8
Viale Sebastiano, 322 Piano 6
Viale Serena, 97 Piano 8
Viale Silvestri, 814 Piano 4
Viale Sole, 87
Viale Stefani, 71 Appartamento 27
Viale Stefania, 81
Viale Stefania, 89
Viale Stella, 494 Piano 6
Viale Sylvia, 57 Piano 5
Viale Tacchini, 89
Viale Taccola, 770
Viale Tamborini, 2 Piano 4
Viale Tasso, 99
Viale Tebaldi, 19 Appartamento 15
Viale Tiziana, 688 Piano 9
Viale Tonino, 8
Viale Tonisto, 38 Appartamento 4
Viale Trotta, 26 Appartamento 33
Viale Tullio, 74
Viale Tutino, 97
Viale Tuzzolino, 0 Piano 8
Viale Ubaldo, 289
Viale Ugo, 61 Piano 7
Viale Ugo, 991 Piano 5
Viale Vanessa, 40 Appartamento 4
Viale Victoria, 254
Viale Vigliotti, 9 Piano 7
Viale Virgilio, 982
Viale Visconti, 3 Appartamento 6
Viale Zanzi, 4 Piano 9
Viale Zecchini, 8 Appartamento 40
Vicolo Achille, 56
Vicolo Adelasia, 521 Appartamento 4
Vicolo Adriana, 928 Piano 0
Vicolo Agostino, 582 Appartamento 93
Vicolo Alberico, 67
Vicolo Alina, 7 Appartamento 78
Vicolo Annetta, 98
Vicolo Antonello, 3 Piano 8
Vicolo Antonia, 45 Appartamento 4
Vicolo Antonio, 0
Vicolo Arnaldo, 663
Vicolo Arnulfo, 99 Appartamento 98
Vicolo Arturo, 61
Vicolo Baldassare, 7
Vicolo Barberini, 482
Vicolo Barberini, 99 Appartamento 7
Vicolo Benito, 1 Appartamento 0
Vicolo Bergoglio, 80
Vicolo Bettina, 20
Vicolo Biagi, 77 Appartamento 35
Vicolo Bianca, 449 Appartamento 11
Vicolo Bocca, 3
Vicolo Boldù, 696 Appartamento 78
Vicolo Bonanno, 3
Vicolo Bonatti, 72
Vicolo Bottaro, 66 Appartamento 1
Vicolo Buonauro, 6
Vicolo Caccioppoli, 93 Appartamento 65
Vicolo Cagnin, 884
Vicolo Camicione, 18
Vicolo Capone, 671
Vicolo Carpaccio, 88 Appartamento 70
Vicolo Castioni, 2 Appartamento 87
Vicolo Ceci, 37 Appartamento 1
Vicolo Cecilia, 472
Vicolo Cesare, 525 Appartamento 6
Vicolo Chiesa, 4
Vicolo Cibin, 90
Vicolo Cilibrasi, 90 Piano 2
Vicolo Claudio, 855 Piano 2
Vicolo Cocci, 2
Vicolo Collodi, 34
Vicolo Costanzi, 89
Vicolo Dallapé, 664 Piano 1
Vicolo Danilo, 48
Vicolo Dante, 41 Piano 0
Vicolo Depero, 24 Appartamento 40
Vicolo Detti, 28 Appartamento 1
Vicolo Diana, 29 Appartamento 39
Vicolo Domenico, 44
Vicolo Donatello, 847 Appartamento 11
Vicolo Donato, 73
Vicolo Druso, 5
Vicolo Durante, 478 Appartamento 7
Vicolo Elvira, 23
Vicolo Erika, 899
Vicolo Eugenia, 640 Piano 1
Vicolo Fabrizi, 50
Vicolo Fabrizio, 22
Vicolo Fabrizio, 87
Vicolo Falloppio, 30
Vicolo Federigo, 96 Appartamento 9
Vicolo Ferrata, 674
Vicolo Ferretti, 19
Vicolo Fiamma, 71
Vicolo Francesca, 251
Vicolo Francesco, 1 Piano 5
Vicolo Franco, 3
Vicolo Franco, 9
Vicolo Fredo, 517 Piano 9
Vicolo Fulvio, 11 Appartamento 1
Vicolo Fusani, 37
Vicolo Galasso, 320
Vicolo Galilei, 2 Appartamento 2
Vicolo Galvani, 99
Vicolo Gargallo, 32 Piano 2
Vicolo Gaspare, 77
Vicolo Giacinto, 78 Piano 2
Vicolo Giampaolo, 0
Vicolo Gian, 744 Piano 4
Vicolo Gianluca, 38
Vicolo Gianpaolo, 4 Appartamento 45
Vicolo Gibilisco, 2 Piano 6
Vicolo Gioacchino, 14
Vicolo Giosuè, 44 Appartamento 3
Vicolo Giuseppina, 71
Vicolo Gloria, 20 Appartamento 6
Vicolo Gotti, 860
Vicolo Gremese, 53 Piano 1
Vicolo Guarato, 768 Piano 7
Vicolo Guarino, 1
Vicolo Hugo, 57 Appartamento 44
Vicolo Iacobucci, 78
Vicolo Imelda, 398 Piano 5
Vicolo Imelda, 8
Vicolo Leone, 56 Piano 6
Vicolo Leopoldo, 44
Vicolo Leopoldo, 98
Vicolo Lettiere, 332
Vicolo Livia, 550 Appartamento 0
Vicolo Lolita, 71 Appartamento 41
Vicolo Longhena, 2 Piano 1
Vicolo Ludovico, 224
Vicolo Ludovico, 445 Piano 3
Vicolo Luigi, 120 Appartamento 95
Vicolo Luna, 0
Vicolo Luzi, 0 Appartamento 83
Vicolo Magnani, 16 Appartamento 34
Vicolo Manacorda, 36
Vicolo Mantegna, 26 Appartamento 68
Vicolo Manuel, 13
Vicolo Manunta, 79 Appartamento 31
Vicolo Marenzio, 68
Vicolo Maria, 3
Vicolo Mariano, 88 Piano 7
Vicolo Marinetti, 0
Vicolo Martina, 15 Piano 5
Vicolo Martino, 66 Piano 8
Vicolo Massimo, 7
Vicolo Michele, 69 Appartamento 1
Vicolo Modigliani, 68
Vicolo Molesini, 3 Appartamento 3
Vicolo Mondadori, 330
Vicolo Monica, 36 Appartamento 97
Vicolo Montecchi, 85
Vicolo Montesano, 35
Vicolo Morpurgo, 28
Vicolo Napoleone, 973 Piano 2
Vicolo Ninetta, 17 Appartamento 5
Vicolo Ninetta, 92 Appartamento 65
Vicolo Nitti, 1 Piano 3
Vicolo Nitti, 72 Appartamento 21
Vicolo Novaro, 54 Appartamento 6
Vicolo Nugnes, 90 Appartamento 70
Vicolo Olga, 9
Vicolo Onio, 68 Appartamento 6
Vicolo Pacetti, 11 Appartamento 75
Vicolo Paloma, 35 Piano 9
Vicolo Pasqual, 72
Vicolo Pausini, 12
Vicolo Pennetta, 42
Vicolo Pierangelo, 35 Appartamento 38
Vicolo Pierangelo, 672
Vicolo Pierluigi, 77 Appartamento 3
Vicolo Piermaria, 890 Piano 5
Vicolo Pierpaolo, 95 Appartamento 4
Vicolo Pina, 6
Vicolo Pininfarina, 884
Vicolo Pisani, 22 Piano 9
Vicolo Pizziol, 1
Vicolo Pizziol, 738 Appartamento 1
Vicolo Praga, 6 Piano 1
Vicolo Priscilla, 5
Vicolo Renzo, 783
Vicolo Romiti, 71
Vicolo Rosselli, 1 Piano 0
Vicolo Roth, 5
Vicolo Samele, 90 Appartamento 9
Vicolo Satriani, 8
Vicolo Sebastiano, 725 Piano 9
Vicolo Segni, 24 Piano 7
Vicolo Serena, 3
Vicolo Severino, 45 Piano 5
Vicolo Sophia, 3 Piano 9
Vicolo Sophia, 7 Piano 5
Vicolo Storladi, 34
Vicolo Tagliafierro, 22 Piano 1
Vicolo Taliani, 142 Piano 3
Vicolo Tasca, 7 Piano 8
Vicolo Toldo, 232 Appartamento 28
Vicolo Torlonia, 2 Appartamento 48
Vicolo Trillini, 256 Appartamento 4
Vicolo Turati, 99 Appartamento 60
Vicolo Valier, 26
Vicolo Vincentio, 67 Appartamento 20
Vicolo Virgilio, 37
Vicolo Vito, 6 Piano 8
Vicolo Ziani, 88
