Aasalléen 934, 8709 Knutbø
Mathisensvingen 95C, 0662 Martinsen
Mathisensvingen 9G, 4130 Larsen
Mathisenvollen 39, 8271 Strøm
Mikkelsenalléen 61, 9822 Ninastrøm
Mikkelsenbakken 2D, 4541 Linnberg
Mikkelsenberget 64D, 8113 Hanssen
Mikkelsenfaret 6, 4062 Øyvindfoss
Mikkelsengata 3, 4179 Kristoffersen
Mikkelsengropa 2A, 7933 Stianø
Mikkelsengropa 984, 7394 Ellingsen
Mikkelsenhagen 247, 5150 Iversen
Mikkelsenhavna 4, 1765 Ellingsen
Mikkelsenhøgda 78, 5124 Sondresand
Mikkelsenkollen 4, 9923 Linnfoss
Mikkelsenlunden 97, 2161 Theafoss
Mikkelsenløkka 3, 9349 Bakken
Mikkelsenmoen 5, 4564 Tonjevåg
Mikkelsenmoen 59, 2264 Antonsen
Mikkelsenmyra 5, 8790 Hagen
Mikkelsenmyra 7, 1849 Elinvær
Mikkelsenroa 091, 0496 Rasmussen
Mikkelsenspranget 70, 6828 Tveit
Mikkelsenstien 647, 6613 Bakke
Mikkelsensvingen 43H, 4740 Steineid
Mikkelsentjernet 4, 9859 Monicahamn
Mikkelsentoppen 855, 1490 Robertnes
Mikkelsenvika 4, 4871 Madsen
Mikkelsenvika 7B, 6104 Fredriksen
Moebråten 47, 3147 Linesund
Moebråten 719, 1279 Dagfjell
Moefaret 71, 1890 Hildesand
Moeflata 72E, 5384 Johansen
Moegata 023, 5495 Solheim
Moegata 21, 3116 Jacobsen
Moegata 954, 4628 Ali
Moegata 97, 6997 Torhamn
Moehagen 68B, 8500 Bakke
Moelunden 5, 0586 Sivertsen
Moelyngen 88, 9537 Gundersen
Moenbakken 89, 2235 Nguyen
Moenbakken 9, 1077 Kennethby
Moenbråten 5, 6992 Abrahamsen
Moengropa 1, 9594 Helland
Moenhagen 21, 8881 Tangen
Moenholtet 77, 9346 Thorsen
Moenhøgda 8A, 2620 Petterodden
Moenplassen 9, 3668 Hildeø
Moenringen 8, 5067 Liseås
Moenroa 5, 1549 Solheim
Moenrøa 79C, 7944 Lie
Moenspranget 39, 7461 Vildehamn
Moenstubben 95, 8882 Mathiasstrøm
Moenstykket 1, 8298 Hildeeid
Moeplassen 17, 9370 Kristinfjell
Moeroa 2, 2222 Ellingsen
Moespranget 2, 4867 Sanderøy
Moestien 14, 0601 Mariannevåg
Moestien 92, 4904 Andresen
Moetoppen 82, 7788 Henriksen
Moevollen 56G, 1383 Bakken
Myhreekra 678, 6311 Åsegrunn
Myhregjerdet 7, 1655 Simensand
Myhrehagen 37, 8550 Knutsen
Myhrehaugen 7, 0354 Franksand
Myhrekroken 89, 9295 Lie
Myhrelunden 2, 9901 Astridberg
Myhrelyngen 504, 7753 Johnsen
Myhreløkka 775, 8575 Larshamn
Myhreplassen 8A, 8104 Kennethbø
Myhreringen 46, 3486 Andersen
Myhrespranget 8, 5299 Trinemark
Myhrestranda 8, 0190 Royås
Myhrestykket 8, 7149 Åsevik
Myhresvingen 45A, 9982 Helgeby
Myklebustbakken 998, 6327 Næss
Myklebustberget 292, 6486 Håvardby
Myklebustbråten 01, 9386 Juliefoss
Myklebustbråten 84, 9458 Monastad
Myklebusteggen 5, 5907 Madsen
Myklebusteggen 98, 4692 Thomasøy
Myklebustekra 07, 1842 Toneøy
Myklebustekra 79, 2679 Bøe
Myklebustgjerdet 33, 9198 Sisselfjord
Myklebusthagen 25A, 6934 Kristoffersen
Myklebustlia 6, 5137 Berge
Myklebustlia 69, 1843 Myklebust
Myklebustlia 8, 1161 Haugen
Myklebustlunden 46, 7639 Tobiashamn
Myklebustringen 5, 4265 Grosjøen
Myklebustroa 64, 7006 Vegardhelle
Myklebustrøa 806, 7024 Torhavn
Myklebustspranget 4, 6519 Bøe
Myklebuststien 09, 2259 Marenfjell
Myklebusttoppen 6C, 7824 Hanssen
Myklebusttunet 34, 3565 Jørgensen
Myklebustvika 8B, 8369 Tomfjell
Nguyenalléen 37, 7428 Kristianvik
Nguyenberget 83B, 8932 Halvorsen
Nguyeneggen 02F, 1724 Fredriksen
Nguyenengen 01, 5531 Tomvær
Nguyenengen 5, 7607 Eriksen
Nguyenflata 686, 9715 Madsen
Nguyenhøgda 5, 2214 Brittby
Nguyenkollen 972, 2990 Grostad
Nguyenlia 11, 5549 Camillaøy
Nguyenlia 14F, 0318 Birkeland
Nguyenlunden 29C, 5906 Danielsen
Nguyenlunden 911, 9787 Grovær
Nguyenlyngen 6, 7516 Svendsen
Nguyenløkka 5H, 8653 Gundersen
Nguyenmarka 9, 2035 Lund
Nguyenskrenten 6, 4274 Aas
Nguyenspranget 528, 4163 Larsen
Nguyenstranda 7, 5171 Haug
Nguyensvingen 7, 8401 Torbjørnvær
Nguyentjernet 66, 5968 Annstrand
Nielsenalléen 383, 6663 Simenbø
Nielsenbråten 4, 7469 Nguyen
Nielsenbråten 5, 3279 Haugen
Nielsenengen 1A, 7216 Johnsen
Nielsengropa 287, 9281 Heidistad
Nielsengropa 7, 4616 Kjellbø
Nielsenhavna 7, 2916 Lie
Nielsenhavna 89, 6077 Sivertsen
Nielsenlia 3, 5159 Madsen
Nielsenlia 8, 3309 Sindreberg
Nielsenplassen 773, 1208 Holm
Nielsenringen 4, 6336 Sørensen
Nielsenrøa 7C, 9534 Monicasjøen
Nielsenstubben 2, 6018 Sandvik
Nielsenstykket 59, 2396 Janneberg
Nielsentjernet 7, 3526 Ellingsen
Nielsenvika 1, 3354 Nygård
Nielsenåsen 5, 3437 Finnfjell
Nilseneggen 4, 5679 Janfjord
Nilsengrenda 7, 6615 Moen
Nilsenhaugen 99, 8090 Mathiaseid
Nilsenjordet 4C, 5359 Simonsen
Nilsenlunden 79, 6539 Thomashamn
Nilsenløkka 3, 6664 Madsen
Nilsenløkka 4H, 5134 Danielsen
Nilsenløkka 8, 0356 Livås
Nilsenmarka 519, 0443 Abrahamsen
Nilsenskogen 99, 5085 Annfjell
Nilsenstien 1B, 3135 Pettersen
Nilsenstien 5E, 2392 Mariafjell
Nilsenstranda 4, 4406 Sarastad
Nilsenstranda 8, 2989 Edvardsen
Nilsenstubben 4, 9966 Knutsen
Nilsenstubben 63B, 4077 Fredriksen
Nilsentjernet 2, 4297 Bøe
Nilsenvika 8, 6564 Antonsen
Nilsenåsen 55, 2225 Nygård
Nygårdbråten 7, 9529 Jonberg
Nygårdeggen 6, 1781 Jacobsen
Nygårdeggen 845, 3358 Sivertsen
Nygårdengen 37, 7125 Hannastad
Nygårdfaret 24, 3195 Joakimvær
Nygårdfaret 8, 6842 Jonasbø
Nygårdgropa 4D, 5507 Sivfjord
Nygårdgropa 7, 6752 Karenø
Nygårdhagen 7, 2202 Gulbrandsen
Nygårdhavna 1, 8390 Aas
Nygårdholtet 68, 7647 Bøe
Nygårdlyngen 3D, 6006 Jenssen
Nygårdmarka 1, 8973 Edvardsen
Nygårdplassen 3, 2984 Christianbø
Nygårdplassen 3, 7889 Dagbø
Nygårdskogen 9, 4755 Tommybø
Nygårdskrenten 7B, 4279 Kristianvåg
Nygårdstykket 79, 6272 Pettersen
Nygårdsvingen 5C, 6579 Jacobsen
Nygårdtjernet 2, 6703 Vegardeid
Næsseggen 567, 0850 Marianes
Næssekra 807, 9353 Ingridbø
Næssekra 9, 9600 Påleid
Næssengen 246, 5089 Rutheid
Næssflata 48A, 1438 Holm
Næssholtet 49, 7818 Annhamn
Næssholtet 8, 3808 Theaodden
Næssholtet 8, 6225 Ellingsen
Næsslia 83, 5660 Lisesund
Næsslyngen 05, 9020 Ellenberg
Næsslyngen 6, 5301 Jørgendal
Næssstien 06A, 3496 Christiangrunn
Næssstykket 53, 9381 Finnby
Næsstjernet 18, 1771 Lund
Næsstjernet 345, 8205 Terjeborg
Næsstjernet 58, 2859 Mariasjøen
Næsstoppen 109, 2916 Turidvåg
Næsstoppen 2, 6474 Antonsen
Næssvika 4, 8647 Hagen
Olsenberget 07B, 7446 Knudsen
Olsenengen 70, 5571 Siljedal
Olsengjerdet 698, 6419 Knudsen
Olsengropa 099, 2686 Tobiasstad
Olsengropa 1, 9396 Larsen
Olsenhaugen 1, 4190 Halvorsen
Olsenhavna 92, 9603 Hansnes
Olsenlyngen 68B, 5629 Thorsen
Olsenmoen 8, 2077 Eirikeid
Olsenplassen 16, 0166 Hansen
Olsenplassen 7, 8455 Jenssen
Olsenrøa 6B, 1686 Marieborg
Olsenspranget 334, 8351 Leneø
Olsenspranget 74, 0242 Emmaø
Olsenstranda 24C, 5169 Stianø
Olsenstubben 75, 7741 Kristiansen
Olsenstubben 93, 7038 Malinhelle
Olsentunet 6, 8809 Kennethø
Olsenvika 55, 0856 Sivertsen
Olsenvika 67, 4490 Sørensen
Olsenvollen 147, 0790 Johnhamn
Paulsenberget 226, 0534 Svendsen
Paulsenengen 8, 3561 Nygård
Paulsengata 14, 1096 Myhre
Paulsengjerdet 6, 5894 Hansen
Paulsenholtet 9F, 2255 Karinås
Paulsenhøgda 47G, 1296 Erikhelle
Paulsenjordet 044, 3921 Henrikstad
Paulsenkollen 90H, 4978 Mariefoss
Paulsenmarka 4E, 9215 Annaøy
Paulsenrøa 7C, 6167 Vildeø
Paulsenrøa 7D, 3211 Birkeland
Paulsenspranget 226, 9453 Vik
Paulsenstranda 41, 7668 Solveigsand
Paulsentjernet 544, 3377 Vik
Paulsentunet 3, 0627 Markusvik
Paulsenvika 92, 8368 Knutsen
Paulsenvollen 2, 9571 Sørensen
Pedersenekra 4H, 1173 Nygård
Pedersenfaret 9, 7638 Abrahamsen
Pedersenjordet 71, 3651 Bakken
Pedersenkollen 08, 7322 Jongrunn
Pedersenlia 92, 9005 Kirstenfjell
Pedersenmoen 094, 3133 Marenbø
Pedersenringen 2, 7907 Sofiegrunn
Pedersenringen 23C, 7336 Kristoffersjøen
Pedersenskrenten 68B, 7680 Kristofferstrøm
Pedersenstien 29F, 9823 Larsen
Pedersenstranda 312, 7137 Elinvåg
Pedersenstranda 68, 2465 Engen
Pedersenstubben 4B, 6222 Pedersen
Pedersenvollen 00, 0117 Ingerstrøm
Pettersenberget 151, 5332 Hannenes
Pettersenberget 454, 5887 Magnefjord
Pettersenflata 4, 1596 Mathisen
Pettersenhagen 58, 1821 Jonasmark
Pettersenhaugen 53, 6754 Jennygrunn
Pettersenhaugen 8, 3759 Helland
Pettersenhaugen 8D, 3581 Johansen
Pettersenlia 10B, 0921 Johannessen
Pettersenlia 4G, 3944 Mariehavn
Pettersenmarka 55, 4847 Lien
Pettersenplassen 1A, 8854 Hildeborg
Pettersenplassen 23, 5408 Sindrevåg
Pettersenrøa 1, 4441 Sisselstrøm
Pettersenskogen 16, 9079 Kristianstrand
Pettersenskrenten 6, 2301 Tangen
Pettersenspranget 519, 7646 Janvik
Pettersenspranget 8, 8555 Johannessen
Pettersenstranda 1, 5701 Kristofferhamn
Pettersenstubben 7D, 5850 Aas
Pettersensvingen 1, 7506 Simenhavn
Rasmussenalléen 8C, 5648 Sivertsen
Rasmussenberget 8, 9658 Mathiasberg
Rasmussenbråten 5G, 8290 Bakken
Rasmusseneggen 38, 3855 Ødegård
Rasmussenflata 6, 6942 Metteborg
Rasmussengata 3, 3322 Anettenes
Rasmussengrenda 1, 3824 Bakken
Rasmussengropa 7, 5309 Dahl
Rasmussenhavna 6E, 2388 Emiliesund
Rasmussenholtet 61, 2791 Olaås
Rasmussenholtet 9, 9013 Kårevær
Rasmussenhøgda 3, 9500 Wenchefoss
Rasmussenhøgda 51, 8585 Runeøy
Rasmussenkroken 14, 9014 Kristensen
Rasmussenkroken 1F, 8667 Mortenfjord
Rasmussenkroken 3, 3844 Synnøvemark
Rasmussenkroken 6D, 0025 Bjørnnes
Rasmussenlia 1, 5255 Marisund
Rasmussenlyngen 1, 8834 Jannesjøen
Rasmussenlyngen 86, 2879 Eirikfoss
Rasmussenplassen 18, 3981 Ali
Rasmussenplassen 42, 8218 Mathisen
Rasmussenspranget 79, 4056 Elseås
Rasmussenspranget 8, 4419 Sandvik
Rasmussentunet 1F, 5420 Erlinghavn
Rasmussentunet 8, 9376 Nilsen
Rasmussenvika 4, 7172 Haug
Rasmussenvollen 1, 4712 Reidunvær
Rasmussenvollen 29B, 1423 Fredriksen
Rasmussenåsen 7C, 5474 Camillaøy
Ruudeggen 10C, 0859 Myhre
Ruudekra 42, 9347 Kennethfjord
Ruudengen 6, 7228 Aasen
Ruudflata 68, 8785 Simonsen
Ruudflata 99, 3613 Øyvindsand
Ruudgata 5, 7318 Isaksen
Ruudgrenda 7, 2108 Torbjørnfjell
Ruudhagen 7C, 7065 Elseeid
Ruudhavna 3F, 4169 Frankodden
Ruudholtet 44F, 9540 Rogersjøen
Ruudholtet 965, 3117 Steinardal
Ruudjordet 5, 2123 Erlingfjord
Ruudkollen 675, 1882 Rolfvåg
Ruudlia 316, 3406 Lie
Ruudlia 4, 2935 Holm
Ruudlyngen 17C, 1812 Knutø
Ruudplassen 4, 6517 Berg
Ruudrøa 33, 6192 Henriksen
Ruudrøa 61, 8008 Nygård
Ruudskogen 504, 6349 Johannesborg
Ruudskrenten 46B, 9379 Antonsen
Ruudskrenten 92, 4311 Kennethdal
Ruudstien 62, 4917 Hanssen
Ruudstranda 6, 9379 Kristinedal
Ruudstranda 855, 0480 Grofjell
Ruudstranda 9, 2546 Trineberg
Ruudtjernet 18A, 3563 Ødegård
Ruudtunet 472, 6297 Edvardsen
Ruudtunet 88, 0509 Olefjord
Rønningbakken 2, 0885 Eide
Rønningflata 21D, 1699 Karieid
Rønninggropa 4, 5781 Henriksen
Rønninghagen 12, 8262 Kennethstad
Rønninghavna 00, 9362 Birkeland
Rønninghavna 39D, 3555 Lien
Rønninghøgda 7F, 4677 Lindasand
Rønningkollen 9C, 2709 Jørgenø
Rønninglunden 2, 2573 Ireneeid
Rønninglyngen 21C, 8707 Camillahelle
Rønninglyngen 37, 5180 Mayø
Rønningmoen 7, 9053 Holm
Rønningrøa 59, 4583 Kjerstihelle
Rønningskogen 05, 6854 Eliassen
Rønningskogen 2A, 4482 Simonsen
Rønningskrenten 3, 8609 Fredrikhamn
Rønningstranda 3, 7051 Johnsen
Rønningstranda 32, 5581 Beritfoss
Sandvikbakken 3C, 9056 Tommyøy
Sandvikhagen 942, 8912 Emilieøy
Sandvikholtet 85C, 9854 Espensand
Sandvikjordet 6, 5536 Edvardsen
Sandvikjordet 9, 1487 Eliassen
Sandvikkroken 47B, 7628 Arnesen
Sandviklia 697, 9374 Berge
Sandviklunden 09, 8874 Rønning
Sandvikmyra 1, 1203 Sebastianfjell
Sandvikmyra 7, 0125 Eide
Sandvikrøa 3, 2204 Steinarnes
Sandvikrøa 726, 9186 Martinemark
Sandvikrøa 8, 4056 Sørensen
Sandvikrøa 99H, 8556 Alexanderfjell
Sandvikskrenten 517, 0529 Andersdal
Sandvikskrenten 52, 7977 Vildevåg
Sandvikskrenten 71F, 7611 Monavik
Sandvikstykket 271, 6281 Roberthavn
Sandviktoppen 3, 8995 Steinarstad
Sandvikåsen 28C, 0243 Kennethhelle
Simonsenekra 6G, 1044 Ali
Simonsenekra 8, 1083 Ritagrunn
Simonsengata 67, 2466 Sørensen
Simonsengrenda 082, 6496 Knudsen
Simonsengrenda 2, 0067 Olavhamn
Simonsengrenda 8, 0364 Hansen
Simonsengropa 54, 8269 Tonjestrand
Simonsenhaugen 3, 1707 Rønning
Simonsenhaugen 8, 6563 Marihamn
Simonsenhavna 07A, 7593 Simonsen
Simonsenhøgda 59F, 6945 Nielsen
Simonsenjordet 04, 1006 Gretesjøen
Simonsenlunden 26, 1996 Randivær
Simonsenlunden 96, 2413 Hannehavn
Simonsenløkka 8B, 0069 Nielsen
Simonsenmyra 52, 7253 Jonby
Simonsenmyra 9G, 6270 Olsen
Simonsenplassen 3E, 6109 Hanssen
Simonsenstien 04, 5669 Madsen
Simonsenstykket 17, 7014 Jørgenhamn
Simonsensvingen 32, 3698 Moe
Simonsensvingen 6, 1175 Adrianø
Simonsenåsen 4D, 6422 Berntsen
Sivertsenbakken 90, 3985 Håkonberg
Sivertsenbråten 31A, 1333 Rasmussen
Sivertseneggen 6, 1334 Andresen
Sivertsenekra 5, 8617 Gulbrandsen
Sivertsenfaret 5, 5133 Bakken
Sivertsengata 4, 7119 Lunde
Sivertsengata 7, 0461 Marenby
Sivertsengjerdet 3, 5539 Jensborg
Sivertsenkollen 8, 0421 Metteeid
Sivertsenløkka 6, 7369 Kristoffersen
Sivertsenmoen 2, 1752 Ødegård
Sivertsenplassen 45C, 6802 Ritahamn
Sivertsenroa 5, 2069 Sondrehavn
Sivertsenskogen 31, 0844 Leneø
Sivertsenspranget 816, 4651 Øyvindvær
Sivertsenvollen 46F, 1373 Haugland
Sivertsenåsen 2, 9297 Tveit
Solbergbakken 1, 5335 Engen
Solbergbakken 6, 7605 Tobiasøy
Solbergberget 4G, 9293 Kristoffersen
Solbergbråten 5, 9489 Vidarø
Solbergekra 82C, 2526 Mathiassand
Solbergengen 5G, 0411 Mortensand
Solbergengen 8, 6705 Steinhavn
Solbergflata 8, 3136 Strand
Solberggata 7E, 2438 Kristensen
Solberghavna 95B, 8795 Arnesen
Solbergholtet 6, 9463 Andreassen
Solberghøgda 6, 4743 Ireneborg
Solbergkollen 1, 1634 Rønning
Solberglia 6F, 2103 Henriksand
Solberglia 79D, 4858 Danielsen
Solberglunden 75, 2481 Siljehelle
Solberglyngen 5E, 0086 Bakken
Solbergringen 39, 5068 Theamark
Solbergskogen 18C, 0104 Madsen
Solbergspranget 063, 4941 Solheim
Solbergtjernet 8, 9834 Torillhavn
Solbergvika 1A, 9426 Myklebust
Solheimbakken 5, 8199 Steinøy
Solheimbakken 8B, 0790 Saraås
Solheimberget 1, 7125 Danielsen
Solheimbråten 6, 4226 Rolfborg
Solheimekra 139, 0024 Simonsen
Solheimfaret 9, 6988 Moen
Solheimflata 2, 4474 Gulbrandsen
Solheimhagen 83, 3176 Moe
Solheimhaugen 74B, 3085 Birkeland
Solheimhavna 1, 6836 Liveid
Solheimkroken 321, 6248 Nielsen
Solheimløkka 8, 4709 Linedal
Solheimmarka 475, 5613 Rasmussen
Solheimplassen 6, 5344 Olsen
Solheimringen 80, 1263 Torgrunn
Solheimroa 4, 7372 Ruthberg
Solheimroa 5, 5424 Jonasvik
Solheimrøa 1, 7348 Kristensen
Solheimrøa 63, 5321 Pettersen
Solheimstien 2, 5725 Mikkelsen
Solheimsvingen 6, 6295 Hansås
Solheimsvingen 66, 1765 Olsen
Solheimtjernet 4A, 5951 Aasen
Solheimtunet 4, 6871 Bjørgstrand
Solheimvika 4, 5001 Mikkelsen
Strandalléen 7, 7153 Sørensen
Strandbakken 5, 0197 Bakken
Strandbråten 7, 3338 Vik
Strandeggen 6, 5685 Madsen
Strandengen 5, 6992 Myklebust
Strandfaret 1, 2215 Ivarø
Strandflata 05, 1670 Jensen
Strandgata 3, 5228 Danielborg
Strandgata 7D, 5975 Holm
Strandgjerdet 75, 4865 Kimvåg
Strandhaugen 6, 2503 Hansstrøm
Strandhøgda 46A, 2611 Bøe
Strandjordet 3, 4300 Toreeid
Strandjordet 69B, 1177 Steinhavn
Strandjordet 6D, 5974 Trondby
Strandlyngen 1, 5033 Johannessen
Strandmarka 27, 0021 Evastrøm
Strandmoen 4G, 8042 Irenevåg
Strandskrenten 661, 8988 Helland
Strandstubben 1A, 9809 Andersås
Strandtoppen 2, 4498 Solveigstad
Strandtoppen 58A, 1709 Iversen
Strandtoppen 9C, 0528 Larsen
Strandtunet 88, 5054 Ali
Strandvika 5H, 0654 Birkeland
Strømgropa 45D, 5643 Kjerstiodden
Strømkollen 8, 7778 Jennyhavn
Strømlunden 07, 5660 Amundsen
Strømlunden 3B, 6451 Ruthfoss
Strømlyngen 6, 0936 Solheim
Strømlyngen 81, 4509 Thomassund
Strømplassen 44, 0878 Robertdal
Strømroa 5D, 5821 Helenevær
Strømroa 7, 0345 Ritahelle
Strømspranget 1C, 1444 Berntsen
Strømstubben 23, 0781 Monicasand
Strømstykket 96C, 4012 Kjetilstrøm
Strømvollen 4, 9206 Johanborg
Svendsenekra 6, 2555 Amundsen
Svendsengata 095, 7605 Tommyø
Svendsengrenda 37C, 4195 Birkeland
Svendsenhaugen 709, 7811 Erikfoss
Svendsenhavna 11A, 4771 Elisabethbø
Svendsenhavna 5D, 2126 Olaås
Svendsenhavna 689, 6088 Emilfjord
Svendsenhavna 6B, 5468 Danielsen
Svendsenholtet 82B, 6142 Turideid
Svendsenhøgda 92, 8210 Pettersen
Svendsenjordet 2, 8185 Lindastad
Svendsenlia 98, 4513 Marenhavn
Svendsenlunden 9, 0873 Roberthelle
Svendsenlyngen 74, 6440 Linefjord
Svendsenmarka 2, 0385 Madsen
Svendsenplassen 4, 7040 Håvardeid
Svendsenspranget 30, 2718 Ireneodden
Svendsensvingen 420, 0198 Pedersen
Svendsentoppen 3, 1555 Tangen
Sæthereggen 5, 6573 Stiansand
Sætherengen 3B, 6021 Jenssen
Sætherengen 7, 7399 Roberthelle
Sætherfaret 22, 0087 Brekke
Sæthergata 7, 2402 Gretevåg
Sæthergrenda 84, 7011 Jenssen
Sætherholtet 3, 3459 Berg
Sætherlunden 3C, 7482 Olsen
Sæthermarka 89, 9289 Ahmed
Sætherringen 6, 4351 Madsen
Sætherroa 1, 1969 Jacobsen
Sæthervika 4, 8914 Noravåg
Sørenseneggen 9, 9515 Knudsen
Sørensenengen 2A, 6502 Eriksen
Sørensenfaret 49, 3337 Oddby
Sørensenjordet 3, 0308 Hauge
Sørensenkollen 26G, 9382 Espenby
Sørensenkroken 6, 1284 Andersen
Sørensenlunden 14, 7403 Birkeland
Sørensenlunden 7, 7602 Bøe
Sørensenlunden 75, 1286 Oddfjord
Sørensenlyngen 2E, 8402 Stianborg
Sørensenmyra 4, 0073 Ruud
Sørensenstien 67, 2007 Livø
Sørensenstranda 12, 1203 Karivåg
Sørensenstranda 1A, 4933 Bøe
Sørensenstykket 3A, 1742 Henriksund
Sørensentjernet 1, 8296 Emiliesand
Sørensentoppen 90, 8604 Knutsen
Sørensenvollen 1, 8264 Birkeland
Sørensenvollen 5, 9006 Eriksen
Sørensenåsen 35, 0111 Haug
Tangenbakken 4, 5840 Haug
Tangenbråten 8, 7747 Camillavik
Tangeneggen 1, 5600 Strand
Tangeneggen 27, 2457 Sarafjord
Tangenekra 90, 3769 Thorvåg
Tangenfaret 8, 4511 Markusbø
Tangenkollen 5E, 0869 Moe
Tangenlia 7, 3296 Gretehamn
Tangenlyngen 4, 3125 Solberg
Tangenløkka 3, 1350 Johnsen
Tangenmarka 220, 5480 Nygård
Tangenmoen 12, 0828 Aune
Tangenmoen 28, 4707 Bakke
Tangenringen 08, 4467 Mariannestrøm
Tangenringen 2, 2741 Karlsen
Tangenrøa 12, 1518 Monicaborg
Tangenskrenten 3, 7419 Monicaodden
Tangenspranget 6, 7290 Simenstrand
Tangenstranda 83, 5305 Stighavn
Tangentjernet 79, 4662 Larsen
Tangentoppen 4F, 5476 Isaksen
Thomassenberget 1, 9288 Egilmark
Thomassenbråten 23, 5258 Henriksen
Thomassenengen 247, 8745 Leneby
Thomassenhagen 73D, 7729 Arneø
Thomassenhavna 7, 2530 Olsen
Thomassenholtet 7, 6864 Helgeø
Thomassenhøgda 1, 5935 Ruud
Thomassenkroken 92, 3823 Anettevik
Thomassenlunden 11E, 5998 Kristiansen
Thomassenplassen 1C, 4690 Brekke
Thomassenplassen 9, 7844 Danielsen
Thomassenroa 4, 2980 Sisselhamn
Thomassenrøa 718, 7567 Helgefoss
Thomassenstranda 2, 3268 Arildbø
Thomassensvingen 8B, 7055 Hanssen
Thomassentjernet 15B, 7209 Heleneberg
Thomassentjernet 61, 1929 Larsen
Thorsenbakken 4, 6685 Rasmussen
Thorsenbråten 27, 1046 Alexandersund
Thorsenhaugen 4, 8411 Kristensen
Thorsenlunden 9, 5112 Kristensen
Thorsenløkka 533, 0199 Ali
Thorsenløkka 9D, 0756 Trineøy
Thorsenmarka 44, 3885 Kristianø
Thorsenmyra 38A, 3866 Ruthfjell
Thorsenrøa 17A, 9137 Vegardhelle
Thorsenskrenten 8, 9119 Jannemark
Thorsenstubben 6, 9133 Arneås
Thorsenstubben 92D, 9972 Grofjord
Thorsensvingen 5, 9821 Larsen
Thorsentjernet 1B, 3672 Ruud
Thorsentjernet 89B, 7816 Rolffoss
Thorsentoppen 8, 7163 Rasmussen
Thorsentunet 7, 7053 Hanssen
Tveitalléen 5, 6368 Eide
Tveitberget 62, 1931 Steinarby
Tveiteggen 838, 9488 Eriksen
Tveitengen 97H, 7076 Kareneid
Tveitgropa 472, 2964 Annafjell
Tveitkroken 33, 8054 Marteodden
Tveitkroken 37B, 1547 Oddhelle
Tveitlia 1, 2385 Bøe
Tveitmyra 28, 8802 Mariusnes
Tveitmyra 67, 7819 Andersen
Tveitringen 49A, 1593 Jorunnvik
Tveitringen 68, 8114 Lie
Tveitroa 1, 5207 Irenestad
Tveitskogen 62, 4147 Danielvik
Tveitskrenten 1, 7538 Rolfvik
Tveitspranget 967, 1866 Beritvær
Tveitstranda 3, 9560 Espensjøen
Tveitstranda 59C, 1636 Lailasund
Tveittoppen 1, 1123 Martinsen
Tveitvika 2, 8357 Sørensen
Tveitvollen 2, 1649 Hauge
Vikbakken 76, 9174 Haugen
Vikfaret 2, 6603 Aasen
Vikgata 50, 7718 Kimstrøm
Vikgata 759, 7083 Jenssen
Vikgjerdet 09B, 3655 Martinhamn
Vikhagen 2, 8086 Abrahamsen
Vikkroken 8, 2379 Tonenes
Vikkroken 8, 5048 Thomasby
Viklyngen 5, 7148 Martinsen
Vikringen 1, 0311 Brekke
Vikskrenten 17, 7994 Haugland
Vikstien 316, 7050 Karlsen
Vikstubben 83, 2745 Larsen
Vikstykket 1, 1323 Edvardsen
Vikstykket 7, 0652 Benteås
Vikstykket 803, 2946 Gunnardal
Viksvingen 390, 5505 Cathrinestrand
Viksvingen 3G, 9546 Ninafoss
Viktoppen 124, 7653 Nilsen
Viktoppen 4A, 4256 Reidunodden
Viktoppen 95, 5235 Mathisen
Viktunet 3, 1067 Leneby
Vikåsen 066, 7292 Jenssen
Ødegårdalléen 42G, 1539 Ingeborgberg
Ødegårdalléen 85A, 2287 Olsen
Ødegårdengen 13, 3793 Knudsen
Ødegårdgata 9, 2120 Gundersen
Ødegårdhagen 01F, 6686 Gunnarhavn
Ødegårdhagen 10, 7793 Johansen
Ødegårdhavna 25, 7100 Knudsen
Ødegårdholtet 63A, 8568 Henriksen
Ødegårdlia 7, 1936 Sofiefjell
Ødegårdlyngen 2, 6378 Sindrestrand
Ødegårdmyra 13, 8239 Thomassen
Ødegårdplassen 82, 8182 Hannavåg
Ødegårdspranget 4, 3511 Anettevik
Ødegårdspranget 787, 3278 Asbjørnmark
Ødegårdstien 8, 3998 Halvorsen
Ødegårdsvingen 849, 1800 Knutsjøen
Ødegårdåsen 4, 0344 Pålgrunn
