Abdul-Kreusel-Ring 5335
Lachmannring 5478
72703 Vechta
Ladeckgasse 1279
10146 Meppen
Ladeckgasse 32-29
90481 Coburg
Ladeckstr. 3-9
50298 Nürtingen
Ladeckstraße 0
58371 Staßfurt
Ladeckstraße 1/6
24887 Bogen
Ladeckweg 2-6
14528 Freising
Ladislaus-Gehringer-Gasse 1234
05146 Kaiserslautern
Langegasse 4-9
05605 Ochsenfurt
Langering 3/4
24536 Pegnitz
Langernallee 9/4
13035 Kyritz
Langernstr. 53/97
01066 Wiedenbrück
Langernweg 6/7
66498 Sonneberg
Larissa-Döring-Ring 73/66
36925 Erbisdorf
Lars-Cichorius-Platz 71-39
12738 Stendal
Lars-Stey-Ring 19
59160 Jüterbog
Laurenz-Röhrdanz-Allee 6
11249 Ebermannstadt
Lehmannplatz 82
22858 Holzminden
Lehmannring 964
13778 Eichstätt
Leif-Hande-Straße 3/8
88511 Uelzen
Leila-Blümel-Straße 336
10036 Gardelegen
Leonard-Heinz-Allee 83
47032 Halberstadt
Leonhard-Ritter-Straße 8221
35400 Pfaffenhofen an der Ilm
Leonhard-Stroh-Allee 73
55677 Bersenbrück
Leonore-Stahr-Ring 5
91015 Hildburghausen
Leszek-Mühle-Straße 5
07888 Eisenberg
Leyla-Finke-Ring 930
78507 Melsungen
Lia-Boucsein-Allee 827
20865 Neustadtner Waldnaab
Lidwina-Keudel-Weg 30/63
66217 Augsburg
Liebeltplatz 8-8
98490 Meppen
Liebeltring 9-4
85827 Kötzting
Liebeltstraße 0
08464 Fürstenfeldbruck
Liesel-Radisch-Allee 3280
13492 Miltenberg
Lieselotte-Kallert-Allee 45/21
88311 Spremberg
Lilian-Rosemann-Weg 42
27151 Guben
Lilija-Klemm-Allee 91-50
48474 Jena
Lilija-Oderwald-Allee 1-7
18941 Kemnath
Lina-Müller-Ring 2-4
20747 Sankt Goarshausen
Lindaustraße 32/93
24996 Heiligenstadt
Lindaustraße 9-3
68173 Badalzungen
Lindauweg 9-2
33890 Hohenstein-Ernstthal
Lindnergasse 534
51394 Mainburg
Lindnergasse 83/92
70094 Klötze
Linkering 486
98336 Saulgau
Linkestraße 7-4
79803 Luckenwalde
Lisbeth-Siering-Platz 2
83711 Chemnitz
Lisette-Hofmann-Platz 235
54803 Zossen
Loni-Röhrdanz-Straße 60
37524 Viersen
Loosstr. 9/8
28850 Prenzlau
Loosstraße 9/5
47641 Backnang
Lorchgasse 3/2
26496 Hagenow
Lorchplatz 275
41082 Osterode am Harz
Lorchstraße 1-6
99688 Germersheim
Lorchweg 3-1
96706 Nördlingen
Lorenzo-Stey-Ring 9-9
50203 Rottweil
Loretta-Juncken-Platz 258
98673 Crailsheim
Loretta-Klotz-Ring 5/3
00766 Grevenbroich
Loretta-Zimmer-Platz 76/63
12185 Prenzlau
Lucia-Buchholz-Straße 7
32431 Zerbst
Lucia-Schmidt-Ring 30/26
67851 Seelow
Luciano-Schacht-Platz 57/74
90509 Pößneck
Ludger-Kitzmann-Straße 40/44
56636 Gera
Ludger-Löwer-Platz 45-22
58623 Sonneberg
Luigi-Hettner-Straße 5808
82193 Grevenbroich
Luis-Lehmann-Platz 81/55
10036 Ebermannstadt
Lydia-Koch II-Ring 94-31
47804 Burgdorf
Lydia-Meyer-Allee 4-3
20288 Wetzlar
Löchelallee 11/96
77002 Witzenhausen
Löchelweg 76
67230 Perleberg
Löfflerallee 27-85
29175 Gunzenhausen
Löfflerring 6-7
18029 Reutlingen
Löfflerstr. 511
28875 Gelnhausen
Löfflerstr. 9/7
66013 Sonneberg
Löfflerstraße 7/8
65974 Regensburg
Löfflerstraße 8-8
25549 Erding
Löwerplatz 20/25
75691 Wertingen
Lübsgasse 2-9
17581 Eckernförde
Lübsplatz 3
64369 Pinneberg
Lübsplatz 32
03255 Schweinfurt
Lübsring 30/99
62806 Pegnitz
Lübsring 35
17234 Sankt Goarshausen
Lübsstr. 3/7
51880 Calau
Magda-Dehmel-Platz 6
80048 Schrobenhausen
Magdalene-Holsten-Straße 9-5
54244 Wiedenbrück
Maja-Trommler-Straße 5-1
23150 Berlin
Malte-Wilmsen-Ring 7300
97440 Reutlingen
Mandy-Döring-Weg 286
59632 Neunburg vorm Wald
Mangoldstraße 2
71735 Lippstadt
Manja-Hübel-Platz 39/62
96697 Ebersberg
Manuela-Bolzmann-Straße 66/86
30423 Rothenburg ob der Tauber
Mara-Weiß-Gasse 4-5
16343 Göttingen
Marc-Reuter-Platz 15
45490 Jessen
Marcel-Trüb-Weg 6
35200 Norden
Marco-Mühle-Gasse 35
65908 Lübben
Mareen-Metz-Weg 6/5
50165 Saarbrücken
Mareike-Geisler-Ring 7554
44742 Grafenau
Mareike-Graf-Platz 9066
82524 Melsungen
Maren-Bolander-Platz 5/6
10464 Ribnitz-Damgarten
Marga-Christoph-Weg 29
72516 Sömmerda
Margaret-Dehmel-Platz 6/9
02187 Osterburg
Margaret-Jungfer-Allee 4/6
45252 Königs Wusterhausen
Margaretha-Wähner-Straße 62-62
56183 Freudenstadt
Margarethe-Käster-Allee 2
60053 Steinfurt
Margarita-Heser-Gasse 6/9
15706 Schweinfurt
Margita-Nohlmans-Straße 4-4
81648 Lübeck
Margot-Mans-Platz 79/22
57049 Dieburg
Margrafplatz 9
27983 Neustrelitz
Margrafring 67
12960 Neunburg vorm Wald
Margrafstr. 7319
08093 Pritzwalk
Margrafstraße 1-3
29452 Wetzlar
Margrafweg 9/4
64866 Rostock
Maria-Luise-Bloch-Straße 2-9
07455 Bergzabern
Maria-Theresia-Walter-Platz 14
99505 Niesky
Marian-Anders-Platz 7-1
01580 Garmisch-Partenkirchen
Marianna-Rosemann-Allee 45/26
05139 Monschau
Marie-Therese-Hövel-Platz 4-8
28795 Mellrichstadt
Marie-Therese-Weihmann-Gasse 69/52
54281 Lüdenscheid
Mariechen-Trubin-Allee 14-44
59167 Kaiserslautern
Marija-Schaaf-Gasse 2/6
80741 Bischofswerda
Mario-Weller-Straße 20/55
75803 Hildesheim
Mariola-Flantz-Straße 9-6
86505 Artern
Marisa-Möchlichen-Gasse 893
51796 Wolfenbüttel
Mark-Gorlitz-Allee 658
48544 Vechta
Mark-Riehl-Gasse 2475
91855 Sonneberg
Mark-Ruppersberger-Platz 3
15504 Böblingen
Marlen-Liebelt-Ring 2924
77178 Luckenwalde
Marlene-Holzapfel-Allee 301
39252 Dachau
Martin-Stiffel-Allee 194
13518 Suhl
Martina-Klemt-Weg 7-9
85733 Moers
Martinplatz 8/1
70970 Rockenhausen
Martinring 96
23888 Feuchtwangen
Marzena-Sager-Straße 82/89
76869 Schongau
Marzena-Weinhold-Gasse 31-13
47911 Biedenkopf
Massimo-Riehl-Ring 18-33
34269 Prenzlau
Mathias-Fritsch-Straße 8734
93485 Wismar
Matteo-Sontag-Ring 57-61
34816 Passau
Matthias-Trubin-Allee 8
98843 Steinfurt
Matthäiallee 9-7
93434 Badalzungen
Matthäigasse 89-42
16103 Hofgeismar
Matthäiplatz 4-2
40243 Auerbach
Matthäiplatz 7
56832 Ahaus
Matthäiring 41-13
92712 Bützow
Mattias-Killer-Allee 7539
38834 Werdau
Maurice-Steckel-Straße 4/3
77635 Wittmund
Maurizio-Bauer-Allee 86/31
25242 Schwandorf
Maurizio-Putz-Allee 9/3
29983 Schleiz
Max-Hiller-Allee 88
52698 Hersbruck
Mechthild-Butte-Allee 93
38944 Sulzbach-Rosenberg
Mehdi-Graf-Weg 4
68364 Flöha
Mehdi-Matthäi-Ring 8
44108 Hersbruck
Meik-Söding-Straße 1
80900 Augsburg
Meike-Säuberlich-Allee 515
05665 Sömmerda
Meisterplatz 5-1
41366 Viechtach
Meisterplatz 88/29
96231 Hersbruck
Meisterring 46/58
31718 Erbisdorf
Meisterring 88
10311 Hainichen
Meisterweg 4305
95644 Güstrow
Melitta-Gierschner-Gasse 69/12
63078 Siegen
Mendegasse 6-3
44544 Stadtroda
Mendeplatz 6-8
29827 Hechingen
Mendestr. 4/3
48841 Paderborn
Meral-Schenk-Gasse 64
16163 Freudenstadt
Mercedes-Scheibe-Gasse 54
76310 Badibling
Mesut-Drub-Allee 2455
99665 Hamburg
Mesut-Herrmann-Gasse 407
42355 Wunsiedel
Mesut-Steuer-Allee 4
72075 Einbeck
Metzplatz 88
20160 Säckingen
Metzstr. 39-14
51681 Pirmasens
Metzweg 829
18920 Ueckermünde
Meyerallee 9229
23394 Mühldorf am Inn
Mia-Karz-Platz 89-13
96009 Marktheidenfeld
Micha-Roskoth-Weg 2-4
94432 Ebersberg
Michel-Benthin-Platz 40-67
63214 Mellrichstadt
Mielcarekplatz 391
77286 München
Mielcarekring 625
51812 Chemnitz
Mielcarekweg 4856
71952 Büsingen am Hochrhein
Miesallee 8/7
63923 Quedlinburg
Miesplatz 113
38865 Kaiserslautern
Miesstraße 5/6
47358 Stendal
Miguel-Fröhlich-Weg 15-10
74525 Lübben
Milica-Heintze-Straße 4-9
03372 Seelow
Milica-Hentschel-Weg 618
33956 Regensburg
Milka-Gude-Ring 38/75
31834 Fürstenwalde
Milka-Mangold-Ring 5-2
65937 Vechta
Mina-Walter-Ring 59/20
00072 Mettmann
Minna-Koch II-Allee 3-8
72302 Sankt Goarshausen
Mira-Zobel-Platz 9905
88061 Grevenbroich
Mirco-Werner-Weg 7-8
07518 Bischofswerda
Mirella-Girschner-Platz 78-53
49069 Schwäbisch Gmünd
Miroslav-Etzold-Gasse 84/85
41855 Lippstadt
Misicherring 28
05631 Crailsheim
Misicherweg 20/11
09014 Saarbrücken
Mitschkeplatz 2-4
57114 Monschau
Mitschkestr. 1164
35638 Lübben
Mohauptplatz 80-51
96694 Rockenhausen
Mohauptweg 2609
57783 Auerbach
Monique-Schlosser-Allee 1/2
82900 Torgau
Mosemanngasse 20/31
45271 Hohenstein-Ernstthal
Mosemannstr. 3203
38496 Wunsiedel
Mudestr. 2/1
14121 Schrobenhausen
Mudestr. 8
93454 Beeskow
Mudeweg 11/51
51626 Saarlouis
Muharrem-Ritter-Gasse 22/67
17815 Pinneberg
Murat-Hering-Allee 9-9
32721 Herford
Murat-Scholl-Ring 3/9
26896 Gardelegen
Mälzerplatz 1
97311 Gardelegen
Mälzerplatz 953
34055 Nabburg
Mälzerring 844
75234 Saulgau
Mälzerstraße 676
89536 Pirmasens
Mälzerweg 71
58113 Schrobenhausen
Möchlichenplatz 17/49
79162 Meppen
Möchlichenring 8/3
93322 Lemgo
Möchlichenstr. 1
21415 Cuxhaven
Mühlestraße 28-46
72368 Wernigerode
Mühleweg 24/72
97499 Jessen
Mülichenallee 2-4
18782 Warendorf
Mülichenstraße 4
89432 Rochlitz
Müllerplatz 65-75
21108 Düren
Müllerplatz 982
60639 Hagenow
Nada-Gumprich-Straße 3-7
04059 Kyritz
Nada-Hethur-Platz 2-3
44487 Schrobenhausen
Nada-Kühnert-Weg 77/77
11260 Wittmund
Nada-Mans-Allee 13-41
93681 Schwarzenberg
Nadja-Kallert-Weg 3/8
50733 Schleiz
Nancy-Weiß-Allee 49
72152 Schwarzenberg
Naserallee 5/6
01266 Wittenberg
Naserring 88
65158 Torgau
Naserstr. 233
44773 Forst
Naserweg 26
93919 Kamenz
Natalie-Hein-Straße 89-18
81379 Gunzenhausen
Natalija-Hartmann-Weg 4712
89314 Suhl
Nettering 13
09870 Backnang
Nettering 60/16
70105 Sulzbach-Rosenberg
Netteweg 68
02924 Eichstätt
Neureutherallee 66-18
54756 Altentreptow
Neureutherstr. 2-7
05620 Finsterwalde
Neuschäferallee 10
33926 Wanzleben
Neuschäferplatz 7/2
41763 Bad Mergentheim
Nicolai-Stoll-Weg 9076
38787 Göppingen
Niels-Hertrampf-Ring 9153
24455 Scheinfeld
Niemeierplatz 54
26904 Neubrandenburg
Niemeierstr. 96
76506 Eisenberg
Nikolai-Lorch-Ring 45
59580 Schleiz
Nikolai-Rose-Ring 6/6
00667 Vilsbiburg
Nikolaus-Briemer-Straße 9-3
35526 Melle
Nikolaus-Wulff-Straße 762
04376 Kassel
Noackstr. 2/4
24605 Kitzingen
Nohlmansallee 56
44856 Bayreuth
Nohlmansring 70/39
07516 Sebnitz
Nohlmansweg 8-3
39246 Eichstätt
Notburga-Briemer-Straße 55
12417 Pfaffenhofen an der Ilm
Notburga-Peukert-Allee 427
25319 Säckingen
Nurten-Zirme-Weg 1331
92154 Heiligenstadt
Oderwaldallee 6/7
49001 Waldmünchen
Oderwaldgasse 487
24116 Parsberg
Oderwaldplatz 9
55547 Main-Höchst
Oderwaldweg 303
37742 Tübingen
Oestrovskygasse 77-77
59652 Ribnitz-Damgarten
Oestrovskyring 66/48
53069 Neustadtner Waldnaab
Olav-Buchholz-Platz 64-92
97579 Germersheim
Olena-Koch-Platz 7431
09330 Pritzwalk
Olena-Wulff-Ring 59-70
39809 Viechtach
Orhan-Gieß-Gasse 8-1
46497 Forchheim
Orhan-Stiffel-Ring 9923
44768 Pasewalk
Ortmannallee 3556
13241 Querfurt
Ortmanngasse 16/96
38625 Geldern
Ortmannring 5
54569 Aschaffenburg
Ortmannring 6/2
33256 Gunzenhausen
Ortmannweg 8/4
61904 Uelzen
Ortrud-Keudel-Gasse 39
53917 Eckernförde
Ortrun-Weinhage-Platz 4-9
68786 Fürstenfeldbruck
Ortwin-Höfig-Platz 81
57612 Quedlinburg
Oscar-Kuhl-Weg 3-2
87299 Oranienburg
Oswald-Hauffer-Platz 63-66
80979 Teterow
Otfried-Aumann-Platz 3703
90252 Wesel
Othmar-Trapp-Platz 8/7
85179 Osterburg
Ottfried-Kensy-Straße 4
41680 Viersen
Ottmar-Jopich-Straße 22
00422 Demmin
Ottoallee 96
53215 Schrobenhausen
Ottoring 96-49
24252 Heiligenstadt
Ottostr. 1-2
66455 Monschau
Paffrathgasse 96-42
58949 Germersheim
Paffrathring 56
84402 Niesky
Pascal-Caspar-Gasse 93
46218 Neustadt am Rübenberge
Patbergstraße 528
82244 Bamberg
Patric-Dowerg-Gasse 117
67152 Lüneburg
Patricia-Blümel-Weg 79
40423 Schongau
Patricia-Schottin-Gasse 6840
89579 Husum
Patrick-Rosemann-Allee 8/4
86339 Rathenow
Paul-Bruder-Ring 61/32
19132 Suhl
Paul-Heinz-Butte-Allee 248
77231 Einbeck
Paula-Kroker-Allee 11/31
20140 Dinkelsbühl
Paulina-Striebitz-Weg 6
10561 Bad Kreuznach
Pauline-Gerlach-Ring 41/18
40207 Ilmenau
Pauline-Hendriks-Allee 7-2
60918 Döbeln
Pauline-Stiebitz-Gasse 4195
78620 Neustrelitz
Pechelallee 7/9
82850 Suhl
Pechelgasse 263
33395 Schrobenhausen
Pechelstr. 1
03951 Burglengenfeld
Pechelweg 71/79
98680 Dresden
Pergandestraße 926
20493 Bautzen
Peter-Ebert-Straße 33-99
77002 Niesky
Peukertgasse 107
36129 Ludwigslust
Peukertgasse 53
42856 Querfurt
Philip-Döhn-Straße 35/10
64786 Tecklenburg
Philip-Döring-Straße 4/3
84722 Wetzlar
Philipp-Wernecke-Ring 9056
38603 Hersbruck
Philomena-Häring-Gasse 78-63
78018 Weißwasser
Pia-Fechner-Straße 84/21
90011 Euskirchen
Pieperstr. 11
21128 Büsingen am Hochrhein
Pieperstraße 4/5
10322 Euskirchen
Pierre-Gotthard-Straße 2
70013 Lichtenfels
Pierre-Schuster-Platz 2-3
48645 Beeskow
Plathring 76-28
00169 Cottbus
Pohlplatz 2044
14580 Lichtenfels
Pohlring 5/7
77940 Geldern
Pruschkeallee 3-4
69192 Dinslaken
Pruschkeweg 7/7
59521 Gardelegen
Pruschkeweg 78-53
50426 Marienberg
Putzgasse 2163
43941 Lobenstein
Putzplatz 11-43
67831 Kehl
Pärtzeltallee 323
17272 Wernigerode
Pärtzeltallee 61
31957 Karlsruhe
Pärtzeltgasse 10/63
75929 Wittmund
Pärtzeltgasse 3-9
44006 Herford
Pärtzeltplatz 5
37971 Mayen
Pölitzgasse 1/5
49433 Riesa
Radischgasse 7-6
26146 Naila
Radischring 80/43
43513 Bogen
Radischstr. 38-74
05872 Garmisch-Partenkirchen
Raimund-Meyer-Allee 2
11493 Anklam
Raissa-Stey-Gasse 8
83704 Rockenhausen
Ralf-Hauffer-Platz 7/8
95035 Hammelburg
Ralf-Peter-Hermann-Weg 402
40997 Borken
Ralf-Peter-Speer-Gasse 774
48893 Mayen
Ralph-Dippel-Allee 9
27434 Deggendorf
Ramazan-Hamann-Weg 5990
15985 Pegnitz
Raphael-Holsten-Gasse 3-5
75551 Eisleben
Rebecca-van der Dussen-Ring 912
54107 Berchtesgaden
Regina-Bohnbach-Allee 60/19
30355 Schwäbisch Gmünd
Reginald-Gorlitz-Weg 1688
32978 Rottweil
Regine-Graf-Weg 828
20823 Neunburg vorm Wald
Regine-Junken-Gasse 63-44
68242 Döbeln
Regine-Krein-Gasse 9-2
20579 Haldensleben
Reimar-Dowerg-Weg 3/8
31967 Darmstadt
Reimar-Herrmann-Weg 17-44
42300 Miesbach
Reimar-Lindau-Platz 37/25
92739 Neuss
Reiner-Binner-Weg 8-6
42792 Brand
Reingard-Paffrath-Gasse 41
28180 Recklinghausen
Reinhard-Lehmann-Allee 8/4
05272 Tuttlingen
Reinhard-Losekann-Ring 581
49011 Warendorf
Reinhardtring 7/4
78320 Lobenstein
Reinhardtweg 8
03479 Beeskow
Reinhold-Bolander-Platz 2/4
17961 Güstrow
Reisingplatz 2577
66377 Calau
Reisingstr. 91/29
41254 Darmstadt
Reisingstraße 426
37883 Hohenmölsen
Remo-Kaul-Gasse 16
34651 Bad Langensalza
Remo-Mude-Straße 885
34338 Dresden
Rene-Hoffmann-Platz 46-17
45138 Dinslaken
Rennerstr. 1/3
29122 Parsberg
Rennerstraße 433
23900 Weimar
René-Segebahn-Straße 8-1
81322 Olpe
Ria-Löchel-Weg 4/5
20287 Grafenau
Rico-Kuhl-Gasse 6-4
73694 Heinsberg
Rico-Mangold-Gasse 1-1
08719 Warendorf
Rico-Trapp-Straße 26/36
38397 Gelnhausen
Riehlstraße 38
38898 Illertissen
Riehlstraße 72/87
46522 Hansestadttralsund
Ringring 9638
82984 München
Ringweg 5/1
97966 Hainichen
Ritterallee 11
56708 Bogen
Rittergasse 10
51544 Bruchsal
Ritterplatz 2857
67151 Moers
Ritterplatz 98-92
83961 Anklam
Ritterstr. 11
62328 Hoyerswerda
Ritterstr. 74-65
67811 Uffenheim
Ritterweg 45/26
24781 Querfurt
Robin-Sorgatz-Weg 9/9
03464 Calw
Rocco-Börner-Gasse 5/3
65023 Dinslaken
Rocco-Hellwig-Straße 80
76453 Parsberg
Rognerstr. 716
82715 Karlsruhe
Rognerstraße 662
11603 Göppingen
Rognerweg 49
61477 Donaueschingen
Rohlederallee 186
00722 Eisenberg
Rohlederstr. 59/69
28907 Eisenach
Rohlederstr. 7-1
62231 Kusel
Rohtring 13
98946 Freising
Roland-Ullrich-Straße 93/59
68690 Worbis
Romuald-Paffrath-Gasse 831
37750 Schongau
Romuald-Thanel-Weg 39-27
90315 Waldmünchen
Ronald-Zimmer-Straße 7887
05096 Malchin
Rosalie-Jacob-Platz 99
47724 Kaiserslautern
Rosalinde-Drewes-Gasse 95/72
11499 Sangerhausen
Rosalinde-Scholtz-Weg 34-63
60444 Viersen
Roseallee 40/59
63589 Monschau
Rosegasse 7956
74960 Burgdorf
Roselinde-Hörle-Gasse 22
39467 Dinkelsbühl
Rosemanngasse 5/5
10390 Reutlingen
Rosemannring 1841
94308 Neu-Ulm
Rosemannstr. 60-46
37430 Eckernförde
Rosenowallee 31/87
24088 Göttingen
Rosenowring 8
40823 Celle
Rosenowweg 6/4
74121 Einbeck
Roseplatz 74-55
03035 Mainburg
Rosina-Döring-Platz 59/61
27952 Soest
Rosina-Löffler-Straße 7205
61577 Merseburg
Roskothstraße 534
02378 Sebnitz
Rosl-Heidrich-Straße 2/5
45135 Mühlhausen
Rosmarie-Hörle-Platz 7/3
70478 Altötting
Roswita-Schmidt-Allee 1/6
74755 Lüneburg
Rotraud-Möchlichen-Allee 373
54272 Hildesheim
Rotraut-Scheibe-Weg 3-3
42366 Haldensleben
Rouven-Schulz-Straße 65
38254 Jülich
Roy-Fiebig-Straße 6-4
95108 Calw
Rudolf-Nette-Allee 314
15989 Iserlohn
Rudolph-Liebelt-Ring 2
01462 Riesa
Rudolphstraße 325
29744 Böblingen
Rudolphstraße 6
32373 Schwabmünchen
Ruppersbergerplatz 5020
02658 Wurzen
Ruppertallee 98/26
78320 Reutlingen
Ruppertgasse 136
40403 Hamburg
Ruppertgasse 69/19
97119 Jüterbog
Ruth-Kabus-Straße 2-8
78938 Gera
Röhrdanzweg 1/8
15857 Bitterfeld
Röhrichtring 75/81
54907 Wittenberg
Röhrichtstr. 1/3
49616 Bersenbrück
Röhrichtstr. 31/86
29959 Koblenz
Römergasse 44-17
41440 Bogen
Rörrichtplatz 6/1
30020 Nordhausen
Rörrichtring 55/36
71445 Deggendorf
Rörrichtstraße 97/92
19394 Aschaffenburg
Rörrichtweg 75/84
57254 Eisenach
Rüdiger-Staude-Straße 25-80
33964 Hamburg
Sabrina-Franke-Ring 1/4
45213 Goslar
Sagerallee 15/67
08623 Wittstock
Sagerweg 6291
31851 Sulzbach-Rosenberg
Sagerweg 74/67
81902 Strasburg
Salih-Oderwald-Gasse 546
49306 Lippstadt
Salvatore-Grein Groth-Gasse 579
97210 Wertingen
Salvatore-Preiß-Gasse 45/79
30285 Hünfeld
Samira-Kohl-Ring 97
93237 Crailsheim
Samira-Mühle-Ring 409
91715 Dinslaken
Samira-Trub-Platz 1
64298 Schwäbisch Gmünd
Sandor-Harloff-Ring 9349
21226 Gransee
Sandor-Neureuther-Platz 74
27582 Arnstadt
Sandra-Gnatz-Allee 970
58236 Erfurt
Sandra-Kitzmann-Weg 42/88
67407 Roding
Sandro-Wende-Platz 2
45220 Kronach
Sarah-Hiller-Weg 625
83307 Sulzbach-Rosenberg
Sauerring 6/3
49222 Berchtesgaden
Sauerweg 42-17
13989 Kitzingen
Sauerweg 629
26103 Delitzsch
Schaafallee 6311
40721 Waldmünchen
Schachtallee 86
71967 Wesel
Schachtgasse 58-57
51086 Mühldorf am Inn
Scheelplatz 34-34
77059 Ebermannstadt
Scheibestraße 168
62435 Badibling
Scheibeweg 71-60
83283 Neuss
Scheuermannallee 69
92377 Wolfratshausen
Schinkestraße 42-43
23537 Spremberg
Schinkeweg 8-1
32871 Greifswald
Schleichallee 8/4
99259 Dinkelsbühl
Schleichgasse 3-1
30972 Rosenheim
Schleichplatz 8/6
78209 Marktheidenfeld
Schleichstr. 6/2
24404 Gräfenhainichen
Schleichstraße 1177
36667 Suhl
Schlosserallee 5-5
58871 Kötzting
Schlossergasse 216
55339 Goslar
Schlosserring 56/68
23946 Sankt Goarshausen
Schlosserring 67/48
44329 Schweinfurt
Schmidtkegasse 53
43817 Finsterwalde
Schmiedtallee 8-2
55592 Amberg
Schmiedtallee 96/99
05362 Anklam
Schmiedtgasse 4
30886 Pritzwalk
Schmiedtgasse 6-7
13576 Belzig
Schmiedtgasse 72-98
54552 Zerbst
Schmiedtstraße 37/60
99008 Füssen
Schollallee 8
71562 Pinneberg
Schollallee 85/56
09829 Suhl
Schollplatz 2
71683 Hansestadttralsund
Schollstraße 2
48656 Witzenhausen
Schollweg 97
72101 Arnstadt
Scholtzring 9883
56363 Saarbrücken
Scholzweg 5-5
19104 Dresden
Schottinplatz 3/2
02647 Wolfach
Schuchhardtallee 7-5
96155 Marktheidenfeld
Schuchhardtgasse 66/60
31641 Grafenau
Schuchhardtweg 162
22431 Beilngries
Schulzallee 425
56990 Duderstadt
Schulzallee 7-4
92818 Berchtesgaden
Schulzring 7328
93859 Geldern
Schulzstraße 12/30
45765 Säckingen
Schulzstraße 89
23773 Burgdorf
Schulzweg 15
64609 Bernburg
Schustergasse 17/44
30682 Lichtenfels
Schusterstraße 1/5
89720 Regen
Schusterweg 31
68208 Günzburg
Schweitzerplatz 63-29
33642 Freital
Schweitzerplatz 970
61980 Uffenheim
Schweitzerring 6
68139 Witzenhausen
Schweitzerring 6
86227 Kamenz
Schwitalallee 20/69
68809 Tuttlingen
Schäferallee 3
95255 Donaueschingen
Schäferstr. 9-1
45994 Regensburg
Schönlandring 61-44
02649 Ingolstadt
Schönlandring 87-98
03498 Ebermannstadt
Schönlandweg 1-8
82611 Werdau
Schönlandweg 2750
04738 Badibling
Schülerplatz 5
47634 Bischofswerda
Schülerplatz 7/6
46383 Beeskow
Schülerring 6451
64380 Euskirchen
Schülerring 7303
41728 Dinslaken
Sebastian-Henschel-Weg 85-25
25465 Miesbach
Sebastiano-Börner-Gasse 6143
51753 Guben
Sebastiano-Wagenknecht-Ring 3802
92136 Dinslaken
Segebahngasse 2
60210 Mallersdorf
Segebahnring 4
24470 Burg
Segebahnring 4-1
93811 Wittmund
Seidelallee 97-56
36513 Wolfratshausen
Seidelplatz 2-3
41176 Niesky
Seidelstr. 6-4
65151 Perleberg
Seidelstraße 1-6
61874 Marktheidenfeld
Seidelstraße 3161
22813 Regensburg
Seifertweg 2231
38226 Saulgau
Seipallee 6/6
24563 Grimma
Seipgasse 618
09538 Eberswalde
Seipplatz 2719
34540 Lemgo
Semra-Rudolph-Straße 80-86
02938 Sankt Goar
Serge-Ritter-Allee 77-73
58771 Hohenstein-Ernstthal
Serge-Sager-Straße 673
76202 Kulmbach
Sergei-Holzapfel-Ring 44-32
17348 Donaueschingen
Sevim-Haering-Allee 68-30
00549 Oschatz
Sibel-Krause-Platz 70-20
72059 Bad Freienwalde
Sibilla-Heydrich-Allee 308
50607 Hainichen
Sibille-Reinhardt-Allee 4/4
05632 Königs Wusterhausen
Sibille-Wieloch-Ring 12/72
10414 Gardelegen
Sibylle-Jüttner-Allee 57-73
67172 Kamenz
Sibylle-Mies-Weg 2496
32226 Grevesmühlen
Siegbert-Heß-Gasse 821
60087 Oberviechtach
Siegbert-Schomber-Straße 4
02437 Groß-Gerau
Siegfried-Henschel-Ring 4997
28708 Chemnitz
Sieghard-Pieper-Straße 60/15
43942 Moers
Siegried-Hande-Weg 1508
39175 Kyritz
Siegried-Kohl-Allee 8
30868 Chemnitz
Siegward-Möchlichen-Platz 24-74
26290 Peine
Sieringring 4963
84832 Bergzabern
Sieringring 5/7
66895 Quedlinburg
Sieringstraße 9
65335 Osterode am Harz
Sieringweg 3552
11704 Prenzlau
Sigismund-Söding-Straße 7
17505 Parsberg
Siglinde-Schleich-Ring 4-3
37494 Eggenfelden
Sigmar-Pölitz-Weg 4/8
29944 Herzberg
Sigmund-Sontag-Platz 68/86
10750 Germersheim
Silva-Kreusel-Allee 26-78
69859 Sankt Goarshausen
Simon-Schenk-Weg 6703
04022 Plauen
Simona-Liebelt-Straße 7/5
61932 Eichstätt
Simone-Keudel-Allee 66-46
52502 Kötzting
Sinaida-Sager-Straße 3-2
43192 Rastatt
Slavko-Bien-Allee 72/81
67055 Herford
Solveig-Gude-Ring 6-7
84292 Bergzabern
Songül-Davids-Straße 25-42
74427 Iserlohn
Sonia-Krebs-Straße 1/3
13506 Königs Wusterhausen
Sonja-Ebert-Gasse 296
65417 Monschau
Sontagstr. 55/20
95682 Bernburg
Sontagweg 922
99218 Staßfurt
Sophie-Wulf-Gasse 6
09970 Jessen
Sorgatzallee 9
22661 Beeskow
Sorgatzplatz 0
06841 Sömmerda
Sorgatzstraße 59
74277 Sebnitz
Spießplatz 6
68519 Artern
Spießstraße 3
36448 Meißen
Stadelmannplatz 27-53
84910 Merseburg
Stadelmannplatz 8
37259 Viechtach
Stadelmannweg 2
69344 Lichtenfels
Staudegasse 64/22
58507 Kulmbach
Staudeweg 9
87771 Viechtach
Steckelgasse 2540
36971 Kehl
Stefani-Klemt-Weg 828
67966 Nördlingen
Stefani-Ruppersberger-Gasse 57
13358 Erkelenz
