Abdul-Cichorius-Allee 87/26
Willibald-Mies-Weg 659
Willibald-Reising-Platz 565
Willibert-Gnatz-Platz 988
Wilmsenplatz 725
Wilmsplatz 7-1
Wilmsstraße 5
Wiltrud-Fechner-Weg 3-3
Wiltrud-Meyer-Straße 1
Wiltrud-Stumpf-Gasse 4-9
Winfried-Schleich-Platz 82
Winklerallee 37/53
Winklerstraße 95
Wirthallee 853
Wirthplatz 2-9
Wirthplatz 9/6
Witold-Jäntsch-Platz 52
Witold-Zimmer-Allee 1493
Wladimir-Finke-Platz 39
Wohlgemutallee 4-9
Wohlgemutgasse 442
Wohlgemutring 1508
Woldemar-Kraus-Weg 1/4
Woldemar-Stiffel-Platz 68
Woldemar-Weitzel-Allee 8-5
Wolf-Rüdiger-Budig-Weg 10/94
Wolf-Rüdiger-Graf-Allee 1
Wolf-Rüdiger-Segebahn-Gasse 68
Wolfram-Geisler-Gasse 23/37
Wulffplatz 2
Wulffstraße 516
Wähnergasse 7
Wähnerplatz 900
Xaver-Drub-Ring 73/53
Yusuf-Freudenberger-Weg 6975
Yusuf-Lübs-Ring 28/60
Yvonne-Rose-Platz 1-2
Zahnplatz 635
Zahnring 66
Zbigniew-Möchlichen-Ring 299
Zeynep-Pruschke-Weg 0
Ziegertgasse 3
Ziegertstr. 9928
Ziegertweg 60-57
Zimmerplatz 8329
Zimmerplatz 974
Zimmerring 32
Zimmerweg 7/2
Zirmeplatz 9-8
Zita-Junken-Allee 2/3
Zita-Stiebitz-Gasse 76
Zobelplatz 2-3
Zobelring 1/8
Zobelstr. 4
Zoran-Conradi-Allee 51/77
Zoran-Renner-Weg 5/6
Zorbachallee 2812
Zorbachplatz 74
Zorbachring 6142
Zorbachstraße 9443
Zänkerallee 27-66
Zänkergasse 73
Zänkerplatz 9-9
Zänkerstr. 807
Zänkerweg 4853
auch Schlauchingasse 8957
auch Schlauchinring 80
auch Schlauchinstraße 5236
van der Dussengasse 48
van der Dussengasse 9
van der Dussenstr. 2-8
van der Dussenstr. 925
van der Dussenweg 43/89
