Abdul-Gunpf-Weg 61-34
Louis-Textor-Allee 6/8
77786 Eckernförde
Louise-Heinz-Ring 3
15825 Burg
Louise-Köster-Weg 6/8
66108 Luckau
Louise-Zimmer-Weg 2/3
74477 Büsingen am Hochrhein
Lucia-Schinke-Straße 75/20
76039 Pritzwalk
Ludmila-Gutknecht-Allee 99/60
83663 Burgdorf
Ludwina-Heydrich-Weg 527
82508 Freudenstadt
Luise-Adolph-Ring 473
34250 Schwarzenberg
Luise-Kramer-Weg 1/9
57286 Delitzsch
Luitgard-Flantz-Platz 7-5
23553 Senftenberg
Luka-Hiller-Straße 88/72
72826 Ebern
Lukas-Trupp-Platz 96-22
50692 Lichtenfels
Lutz-Lindner-Ring 4/4
81602 Wolfenbüttel
Luzia-Reising-Straße 6585
64384 Rochlitz
Löchelallee 44/43
12894 Pritzwalk
Löchelplatz 77/59
23606 Kaiserslautern
Löfflerring 97
23544 Güstrow
Löwerplatz 1
85064 Ingolstadt
Löwerstraße 9
33316 Wesel
Löwerweg 5-9
07031 Wolfach
Lübsallee 8-4
00449 Rottweil
Magarete-Kranz-Allee 46
27302 Forchheim
Magarete-Ladeck-Platz 1265
69360 Nabburg
Magda-Eberhardt-Platz 2-1
20141 Jessen
Magda-Ernst-Platz 3
12344 Backnang
Magda-Hölzenbecher-Gasse 9/3
03603 Dieburg
Magret-Schottin-Weg 8/2
22570 Viechtach
Magret-Schuster-Platz 3/2
36020 Viechtach
Maike-Binner-Weg 10-21
04973 Dieburg
Malgorzata-Bärer-Weg 854
65769 Celle
Malte-Adolph-Ring 1282
83220 Hettstedt
Malte-Köhler-Platz 6492
65848 Ebern
Malte-Römer-Straße 4
65366 Bruchsal
Mandy-Wagenknecht-Allee 5
10116 Wittenberg
Manfred-Bohlander-Allee 4/6
20734 Ahaus
Mangoldallee 5/4
50693 Hansestadttralsund
Mangoldstr. 18/57
34726 Viersen
Mangoldstraße 1/7
45971 Eberswalde
Mansring 9505
07472 Höxter
Mansstr. 2-6
60358 Klötze
Mansstraße 1
21220 Mayen
Mansstraße 31-81
87071 Mettmann
Mansstraße 72
89748 Schwäbisch Gmünd
Manuel-Hartmann-Straße 3
37107 Pfaffenhofen an der Ilm
Manuela-Freudenberger-Gasse 3-9
62372 Illertissen
Marc-Martin-Allee 30/35
36238 Hainichen
Margarete-Carsten-Weg 1/2
08185 Kötzting
Margarete-Dietz-Gasse 8-4
56030 Lobenstein
Margarethe-Barkholz-Platz 2
80458 Bad Kreuznach
Margit-Birnbaum-Weg 6/8
98182 Pinneberg
Margit-Heuser-Straße 65/23
75250 Zerbst
Margot-Stahr-Gasse 65-12
29152 Wurzen
Margrafgasse 8/3
57177 Grafenau
Margrafring 7/9
44200 Hünfeld
Margret-Löffler-Ring 8
55886 Uffenheim
Margrit-Reinhardt-Weg 5/7
47583 Bernburg
Maria-Luise-Freudenberger-Gasse 92
83880 Wernigerode
Maria-Theresia-Hornich-Ring 5650
02794 Plauen
Marie-Luise-Lachmann-Platz 5/5
97864 Staßfurt
Marija-Schleich-Platz 6-5
31881 Sonneberg
Marija-Trubin-Ring 77/83
69309 Griesbach Rottal
Marijan-Grein Groth-Platz 488
76972 Bad Langensalza
Marina-Scholtz-Allee 836
00769 Erkelenz
Mariola-Knappe-Weg 25-73
50959 Holzminden
Marisa-Pohl-Weg 53/68
64163 Kemnath
Maritta-Hornig-Straße 9
10982 Kleve
Marius-Eberth-Straße 6782
20580 Sonneberg
Marjan-Mülichen-Platz 29-34
66188 Grimmen
Marlen-Bauer-Platz 3-2
14282 Steinfurt
Marlen-Ullmann-Ring 24/59
59979 Sömmerda
Marlene-Sontag-Straße 757
83236 Plauen
Marlies-Scheuermann-Weg 8/4
70824 Schwandorf
Marta-Beyer-Gasse 3-1
13741 Cuxhaven
Marten-Scholz-Ring 52-24
80717 Wunsiedel
Martina-Geisel-Straße 26
44911 Grimmen
Martina-Rogner-Gasse 9/9
48617 Holzminden
Martinallee 6769
97395 Strasburg
Marzena-Klingelhöfer-Allee 27/10
14068 Schwabmünchen
Mathias-Wagner-Gasse 11
19672 Dieburg
Matthias-Rosemann-Ring 7998
98292 Auerbach
Matthäiplatz 12
94922 Güstrow
Matthäiring 71-74
81137 Zschopau
Matthäus-Wulf-Platz 6-5
51256 Kusel
Maurice-Berger-Allee 52/51
22346 Pinneberg
Maurice-Binner-Platz 1
79559 Zerbst
Max-Schomber-Ring 7628
41490 Luckenwalde
Maximilian-Beckmann-Straße 80-83
21680 Apolda
Maya-Scheuermann-Platz 7-2
88782 Hofgeismar
Mechthilde-Bauer-Platz 5192
31965 Luckenwalde
Mehdi-Ditschlerin-Weg 8-9
11614 Brandenburg
Mehdi-Mohaupt-Platz 92/27
53971 Scheinfeld
Mehmet-Klemm-Straße 218
84154 Höxter
Meik-Warmer-Weg 9560
27954 Miesbach
Meinolf-Davids-Straße 43-48
57156 Teterow
Meinolf-Kraus-Platz 4/9
46871 Kassel
Meinolf-Tintzmann-Ring 10/20
97260 Lichtenfels
Meisterstr. 69/49
31268 Miltenberg
Meisterweg 7/6
55067 Sangerhausen
Melanie-Niemeier-Straße 6418
60931 Mittweida
Melitta-Koch II-Weg 47/72
29290 Ebermannstadt
Mendestraße 144
18102 Prenzlau
Mentzelring 14
14759 Lobenstein
Meral-Mans-Allee 76-38
55136 Querfurt
Metin-Conradi-Weg 76/73
70557 Säckingen
Metzgasse 2/3
32241 Stade
Metzring 1/7
25285 Werdau
Metzstr. 15/71
05219 Sonneberg
Meyerallee 29-23
81040 Kusel
Meyerring 1741
35014 Bischofswerda
Meyerstr. 727
84580 Einbeck
Meyerstraße 2
97294 Pinneberg
Meyerweg 9/4
68259 Stadtroda
Micha-van der Dussen-Straße 805
23182 Schwerin
Michael-Löffler-Allee 2384
91140 Greiz
Michail-Mangold-Straße 4615
66123 Parsberg
Mielcarekring 643
27773 Weimar
Mielcarekstraße 34/95
29505 Warendorf
Miesplatz 28-60
81822 Bruchsal
Miesstr. 2-7
55588 Wertingen
Miesstr. 375
34404 Königs Wusterhausen
Miesstr. 4
95541 Geldern
Miesstraße 9406
01874 Bad Kreuznach
Mike-Hornich-Allee 8590
23482 Osterburg
Mikhail-Biggen-Weg 85/22
40135 Bad Langensalza
Mikhail-Trupp-Weg 9/7
23849 Euskirchen
Milos-Heß-Platz 91-47
11362 Roth
Mina-Herrmann-Straße 8/4
42448 Heiligenstadt
Mina-Kusch-Gasse 797
54216 Chemnitz
Minna-Lindner-Platz 8-9
56746 Jülich
Miriam-Sauer-Ring 2
21846 Goslar
Miroslav-Stiebitz-Straße 1/7
58733 Marienberg
Miroslaw-Sorgatz-Straße 5-6
28602 Kitzingen
Misichergasse 27/70
56048 Neuruppin
Misicherstraße 10
72232 Hammelburg
Misicherstraße 45
92281 Hettstedt
Mitschkeallee 7-4
69747 Bernburg
Mitschkering 6/7
45003 Hansestadttralsund
Mitschkestraße 92
81376 Artern
Mitschkeweg 6/3
72892 Sömmerda
Mohauptallee 86
78247 Senftenberg
Mohauptplatz 5
66645 Schwabmünchen
Mohauptplatz 9-2
28346 Altötting
Monika-Hecker-Gasse 6792
37128 Artern
Monika-Scheuermann-Gasse 4-7
28585 Beeskow
Mosemannweg 7679
48457 Bautzen
Mudegasse 34
10602 Wittmund
Mudeplatz 8/4
36705 Querfurt
Mudering 4356
65243 Wittenberg
Mudering 5535
80237 Gießen
Murat-Liebelt-Gasse 17-96
02648 Griesbach Rottal
Möchlichenring 36
34535 Strasburg
Mühlering 347
07654 Ebermannstadt
Mühlering 68
38228 Günzburg
Mühleweg 6
92513 Quedlinburg
Mühleweg 7060
06120 Bützow
Mülichenallee 8
31467 Soest
Müllergasse 67-42
28998 Konstanz
Nada-Wilmsen-Ring 90
71700 Celle
Nadeshda-Mülichen-Ring 3471
43155 Chemnitz
Nadja-Schwital-Straße 1/9
01093 Sankt Goar
Nancy-Lübs-Ring 55/23
84829 Halberstadt
Naserallee 6
76447 Tirschenreuth
Naserplatz 7-5
85852 Merseburg
Naserplatz 9/1
48210 Ingolstadt
Naserring 8574
34278 Euskirchen
Naserstr. 6-7
48508 Siegen
Naserstr. 860
35107 Gerolzhofen
Naserweg 1/4
19348 Sebnitz
Naserweg 837
23075 Göppingen
Natali-Hermann-Ring 1/4
58427 Mellrichstadt
Natalja-Rädel-Ring 68/56
99008 Saulgau
Nelli-Nerger-Weg 1850
55781 Brand
Nergergasse 27
87783 Bernburg
Nergerplatz 0
84672 Wurzen
Nergerstraße 17-45
71313 Sonneberg
Nergerweg 9
75973 Schmölln
Netteallee 5
20542 Stadtsteinach
Netteplatz 0
12813 Hünfeld
Nettering 7
86034 Bremervörde
Netteweg 6439
14188 Schwerin
Neureuthergasse 3-1
66431 Erbisdorf
Neureutherplatz 67-95
54640 Calau
Neureutherstraße 26
51215 Beeskow
Neuschäferallee 93/45
54361 Stadtroda
Neuschäferstraße 5-9
77614 Klötze
Nick-Speer-Weg 5-2
99265 Bad Langensalza
Niels-Dehmel-Allee 234
54680 Hofgeismar
Niels-Lorch-Allee 626
03742 Jessen
Niko-Schweitzer-Allee 891
32226 Eutin
Nikolaos-Mende-Platz 430
85130 Wetzlar
Nils-Fiebig-Allee 4/7
96654 Kötzting
Nils-Gotthard-Ring 7270
80911 Aachen
Nils-Mälzer-Straße 8900
65663 Riesa
Nina-Heintze-Straße 26
06872 Artern
Nina-Renner-Ring 2320
23943 Cottbus
Noackstraße 19
08279 Neuruppin
Noackstraße 50-62
86800 Beilngries
Nohlmansallee 2400
12504 Prenzlau
Nohlmansstr. 95
72969 Hannover
Nohlmansstraße 59
06899 Magdeburg
Nora-Drewes-Weg 9968
07900 Vechta
Nora-Harloff-Straße 34
50520 Ingolstadt
Norma-Gorlitz-Weg 5
74583 Ahaus
Norman-Barkholz-Allee 6-8
78260 Fulda
Nuran-Sontag-Weg 76
99980 Brilon
Nurettin-Albers-Platz 3-3
64283 Fallingbostel
Nurettin-Stolze-Weg 41/20
58711 Roding
Nurettin-Werner-Straße 51-22
63589 Parchim
Nuri-Putz-Platz 1
24898 Ribnitz-Damgarten
Nurten-Tintzmann-Weg 6
61984 Rothenburg ob der Tauber
Oderwaldallee 68/67
46151 Seelow
Oderwaldgasse 9
55871 Mallersdorf
Oestrovskyring 3-9
04673 Torgau
Oestrovskystraße 3940
36512 Northeim
Oestrovskystraße 5/7
04298 Erbisdorf
Ole-Trubin-Allee 9993
42966 Suhl
Olga-Geisel-Platz 6/6
99057 Lichtenfels
Olga-Huhn-Platz 2/4
19562 Säckingen
Oliver-Schleich-Weg 5/4
23359 Ahaus
Ortrud-Trubin-Platz 9/8
96261 Calau
Ortrun-Margraf-Weg 422
02141 Uffenheim
Osman-Süßebier-Straße 37-20
58274 Fallingbostel
Oswald-Trüb-Allee 82
95397 Karlsruhe
Oswin-Becker-Gasse 61-99
15371 Zschopau
Oswin-Neuschäfer-Platz 515
52718 Aurich
Otfried-Hamann-Platz 15
20552 Ahaus
Ottilie-Hentschel-Platz 20-75
70060 Vilsbiburg
Ottilie-Walter-Platz 53/66
21230 Darmstadt
Oxana-Hande-Ring 8/7
10824 Schmölln
Paffrathallee 7982
23081 Rosenheim
Paola-Weinhold-Platz 42/75
78553 Borken
Patbergstraße 9-9
06136 Gera
Patric-Kraus-Weg 7
84879 Leipziger Land
Patric-Krebs-Straße 26/96
71424 München
Patrick-Hendriks-Gasse 2/2
95097 Ansbach
Patrick-Hornich-Gasse 8/9
93872 Günzburg
Patrizia-Birnbaum-Platz 5-8
53142 Wertingen
Paul-Heinz-Franke-Ring 2276
04356 Bamberg
Paul-Schuchhardt-Straße 31/57
11837 Plauen
Paulina-Müller-Weg 4599
52947 Leipziger Land
Pauline-Stiebitz-Gasse 7284
28827 Stade
Pergandeallee 4/2
73866 Jülich
Pergandeallee 423
68911 Backnang
Pergandering 72-60
19683 Forst
Pero-Kambs-Ring 3-4
00638 Bogen
Pero-Mülichen-Ring 51
35910 Greiz
Petros-Hornich-Gasse 76/57
58614 Badalzungen
Phillip-Gorlitz-Allee 85-25
01429 Demmin
Phillip-Martin-Platz 8
06278 Hechingen
Philomena-Briemer-Platz 744
16446 Mayen
Pieperallee 15
48743 Pirmasens
Pieperweg 316
71540 Melsungen
Pierre-Hofmann-Ring 3-6
54987 Waren
Piotr-Schwital-Platz 44
65929 Finsterwalde
Pius-Gute-Ring 512
24046 Schlüchtern
Pius-Schmidtke-Gasse 1
56191 Nördlingen
Plathallee 307
78465 Viersen
Plathgasse 242
11090 Griesbach Rottal
Plathring 6
82433 Greiz
Plathstr. 936
80240 Badoberan
Plathstraße 67/53
51573 Kusel
Pohlallee 6-2
25175 Rathenow
Pohlallee 838
54771 Melsungen
Pohlring 8262
75843 Regen
Pruschkering 10/42
10694 Monschau
Pärtzeltring 23
81825 Quedlinburg
Pärtzeltstraße 47/24
91811 Neustadtner Waldnaab
Pärtzeltweg 4
61933 Gardelegen
Pölitzgasse 54-21
01589 Fallingbostel
Pölitzring 4/2
06446 Bremen
Rabea-Rogge-Weg 1-2
42260 Auerbach
Radischstr. 9040
46010 Norden
Rafael-Seidel-Platz 8258
51937 Strausberg
Rahel-Kraus-Allee 52
15575 Delitzsch
Rahel-Römer-Gasse 78-42
09695 Heinsberg
Raik-Gorlitz-Weg 91
89971 Prenzlau
Raisa-Wilmsen-Straße 78/60
39103 Borken
Raissa-Tschentscher-Weg 63-47
02118 Gerolzhofen
Ralf-Mangold-Gasse 6
81293 Iserlohn
Ralf-Peter-Stadelmann-Allee 93-44
31972 Kelheim
Ramon-Weimer-Platz 58/81
18151 Säckingen
Randolf-Austermühle-Ring 28/39
07119 Schrobenhausen
Randolf-Löffler-Allee 1424
86181 Beilngries
Rebekka-Walter-Gasse 7/3
05571 Rockenhausen
Recep-Pechel-Platz 6954
27444 Hettstedt
Recep-Weinhage-Allee 14/43
02055 Heinsberg
Reichmannstr. 8/4
52166 Schwäbisch Hall
Reimar-Nohlmans-Ring 7
62472 Großenhain
Reimund-Hethur-Gasse 28
68972 Cuxhaven
Reinhardtplatz 6-2
92501 Sulzbach-Rosenberg
Reinhardtplatz 808
58753 Holzminden
Reinhart-Spieß-Allee 463
40953 Kleve
Reinhild-Keudel-Weg 48
40885 Bautzen
Reinhilde-Jüttner-Platz 72-11
65309 Pößneck
Reisinggasse 69
66994 Neustadtner Waldnaab
Reisingweg 5/7
75000 Bogen
Renata-Riehl-Straße 6637
81405 Erding
Rene-Geisel-Straße 12-41
21201 Neu-Ulm
Rene-Neureuther-Straße 2
58434 Leipziger Land
Rennerplatz 57/61
22067 Fulda
Resi-Blümel-Weg 883
77292 Diepholz
Reuterring 57
94557 Neustadt am Rübenberge
Reuterstr. 60/51
72569 Hechingen
Reuterstr. 68
23967 Ahaus
Ria-Speer-Platz 9/3
52339 Eberswalde
Ricarda-Kruschwitz-Allee 7-7
68700 Jülich
Richard-Butte-Gasse 96
07172 Angermünde
Rico-Radisch-Platz 7/3
76303 Northeim
Riehlplatz 8
40134 Perleberg
Riehlstr. 4769
18116 Grimma
Riehlweg 133
57020 Miltenberg
Rigo-Geißler-Allee 44
04309 Ingolstadt
Rigo-Otto-Allee 6562
31564 Bersenbrück
Ringallee 57-24
27936 Aschaffenburg
Ringgasse 6222
24617 Burg
Ringplatz 2596
00736 Ebersberg
Ringstraße 48
19657 Badoberan
Ritterring 266
20130 Fulda
Rochus-Beckmann-Allee 7-2
19376 Dinkelsbühl
Roggering 37
70862 Wolmirstedt
Roggering 93-14
78543 Cuxhaven
Roggestr. 31-62
81421 Miesbach
Rognerplatz 189
41157 Schweinfurt
Rognerring 4-2
59171 Sankt Goarshausen
Rohledergasse 26
84577 Rothenburg ob der Tauber
Rohledergasse 987
32472 Fulda
Rohlederplatz 5
55536 Tecklenburg
Rohlederstr. 767
60605 Badibling
Rohtallee 11
06397 Bad Mergentheim
Rohtstr. 0
53220 Kusel
Rohtstraße 1
72477 Bergzabern
Rolf-Gerlach-Allee 12
76873 Melsungen
Roman-Heydrich-Straße 1/8
48603 Zerbst
Romana-Knappe-Weg 10
45249 Coburg
Romana-Mitschke-Allee 7-9
89255 Lübeck
Romy-Hänel-Allee 56-59
98925 Main-Höchst
Rosalie-Flantz-Platz 89
94729 Grafenau
Rosegasse 2/6
21335 Eutin
Rosel-Koch-Straße 63/88
01512 Kassel
Roselinde-Mies-Platz 61/22
76959 Lippstadt
Roselinde-Schenk-Gasse 98
29409 Sternberg
Rosemanngasse 3/4
98824 Finsterwalde
Rosemannring 57
09901 Höxter
Rosemannstraße 9/6
50845 Sankt Goarshausen
Rosemannweg 5/8
18425 Wolmirstedt
Rosenowgasse 90/23
24893 Genthin
Rosenowplatz 812
71302 Eberswalde
Rosenowplatz 958
56781 Brilon
Rosenowweg 255
78319 Malchin
Roseplatz 5-3
88136 Geithain
Rosering 61-14
68262 Sebnitz
Rosestr. 3/3
85823 Hofgeismar
Roskothplatz 69
73524 Pinneberg
Roskothring 1544
72549 Forst
Roskothring 5203
68274 Tirschenreuth
Roskothstr. 99/38
55632 Jüterbog
Roskothweg 81
87189 Hansestadttralsund
Roswitha-Klemt-Allee 2/5
78201 Celle
Rotraud-Buchholz-Straße 1/7
44364 Mellrichstadt
Rotraut-Nohlmans-Allee 1
91807 Deggendorf
Roy-Pohl-Platz 39
14011 Herford
Ruben-Pruschke-Platz 53-42
85841 Kelheim
Rudi-Schönland-Platz 5/5
72179 Stendal
Rudolf-Lindner-Straße 69/20
53453 Wolmirstedt
Rudolphgasse 8-4
08208 Mühldorf am Inn
Rudolphgasse 99
03349 Hettstedt
Rudolphweg 148
07038 Rochlitz
Rupert-Kroker-Straße 6993
15205 Coburg
Rupert-Kühnert-Weg 35
72894 Diepholz
Ruppersbergerallee 1/8
21202 Schwandorf
Ruppersbergerallee 10
40941 Rottweil
Ruppersbergergasse 1
06007 Wiedenbrück
Ruppersbergergasse 17/10
99113 Halberstadt
Ruppersbergergasse 71-44
12028 Düren
Ruppersbergerplatz 2449
94742 Nördlingen
Ruppersbergerring 20-16
14661 Lüdinghausen
Ruppersbergerstr. 4197
39445 Eberswalde
Ruppersbergerstraße 34-53
32680 Bad Brückenau
Ruppertallee 938
76805 Hohenstein-Ernstthal
Ruppertallee 98
04877 Meppen
Ruppertstraße 4-2
00906 Bamberg
Ruppertweg 5/2
97468 Leipziger Land
Rustallee 5-2
96714 Kleve
Rustring 2909
33535 Geldern
Ruststraße 37/51
87941 Wismar
Ruststraße 9420
52412 Hansestadttralsund
Rustweg 5-5
85149 Geldern
Ruth-Beer-Ring 8
78864 Konstanz
Ruth-Wulf-Weg 93-99
00761 Vohenstrauß
Rädelring 0
23085 Artern
Röhrdanzplatz 12
09515 Brandenburg
Röhrichtring 9625
94653 Neustrelitz
Röhrichtstraße 63-98
13683 Waldmünchen
Röhrichtstraße 76/99
41084 Jena
Röhrichtweg 37-46
67296 Kelheim
Römerallee 431
43203 Kemnath
Römerallee 9-9
97094 Lippstadt
Römerring 99/58
35557 Grafenau
Römerweg 860
53355 Oschatz
Rörrichtgasse 4/9
91835 Eberswalde
Rörrichtstraße 88-51
45529 Nördlingen
Rörrichtweg 7/9
01228 Pasewalk
Rüdiger-Schmidt-Straße 3
00948 Crailsheim
Rüdiger-Tlustek-Gasse 6-8
14123 Vechta
Saban-Ehlert-Platz 94/44
88609 Wolfratshausen
Saban-Jäkel-Gasse 1/3
16589 Eichstätt
Sabine-Metz-Weg 76-43
77608 Bad Freienwalde
Sabrina-Butte-Weg 6/4
51636 Dresden
Sabrina-Schinke-Weg 870
28336 Karlsruhe
Sagerallee 1812
11703 Scheinfeld
Sagerweg 5
16728 Augsburg
Salzplatz 6-9
89209 Cottbus
Salzring 4/4
75116 Hettstedt
Salzstraße 4-4
94467 Sondershausen
Salzweg 79
14730 Gütersloh
Samira-Spieß-Weg 2929
20443 Kitzingen
Sandra-Etzler-Platz 5/6
82778 Rostock
Sandra-Heidrich-Gasse 6489
08178 Wittstock
Sandra-Hentschel-Weg 36
89324 Bremervörde
Sandro-Patberg-Weg 8132
74648 Nördlingen
Sarah-Bolzmann-Allee 13-44
26138 Chemnitz
Sarah-Söding-Gasse 8-4
93530 Suhl
Sarina-Wesack-Allee 6
15768 Meiningen
Sauerallee 34/77
56959 Neu-Ulm
Sauerring 2/4
04187 Darmstadt
Sauerring 36/11
15784 Erfurt
Sauerstr. 50/39
85609 Wurzen
Sauerweg 2957
45975 Illertissen
Sauerweg 5/3
32103 Riesa
Schaafplatz 35
45367 Kulmbach
Schaafplatz 840
34198 Weimar
Schaafring 54-51
95868 Schwerin
Schachtgasse 54
55761 Burgdorf
Schachtgasse 810
05790 Belzig
Schachtweg 95
59745 Auerbach
Scheelallee 511
61063 Mainburg
Scheelplatz 7/5
69696 Parchim
Scheelring 5
41054 Haldensleben
Scheelstr. 64/24
66997 Haldensleben
Scheibeallee 22
11100 Jena
Scheibeplatz 6592
97546 Olpe
Schenkallee 50-17
84784 Worbis
Schenkallee 86-49
08491 Göttingen
Schenkgasse 82-63
27812 Hünfeld
Scheuermannring 70-85
34543 Mittweida
Scheuermannweg 4-6
17152 Jüterbog
Schinkeallee 298
98310 Uffenheim
Schinkeallee 3/1
24111 Halberstadt
Schinkestr. 748
08545 Strausberg
Schleichstr. 3/6
21794 Freising
Schleichstr. 598
28836 Böblingen
Schleichstraße 65
97897 Deggendorf
Schleichstraße 78/60
40488 Königs Wusterhausen
Schleichweg 51
72035 Berlin
Schlosserring 148
39370 Grevenbroich
Schlosserring 3
62798 Riesa
Schlosserweg 75/29
70813 Brandenburg
Schmidtallee 1-9
32901 Osterburg
Schmidtallee 4912
13254 Zschopau
Schmidtgasse 97-92
38253 Altentreptow
Schmidtkestr. 4255
51013 Jülich
Schmidtplatz 64
47375 Guben
Schmidtstraße 83/48
78944 Dinkelsbühl
Schmiedeckegasse 7/3
09214 Crailsheim
Schmiedeckering 10/87
82772 Büsingen am Hochrhein
Schmiedeckeweg 289
21559 Erbisdorf
Schollplatz 5/7
09446 Nördlingen
Schollstraße 18-27
57017 Hoyerswerda
Schollstraße 38-67
53608 Deggendorf
Schollweg 4/1
68709 Dresden
Schollweg 704
21275 Monschau
Schollweg 8080
20277 Malchin
Scholtzallee 28-70
40095 Gräfenhainichen
Scholtzallee 87/86
36564 Altötting
Scholzallee 5
81117 Wolfenbüttel
Scholzgasse 76-92
40168 Wittmund
Schomberallee 71
93034 Herford
Schomberring 23
60786 Osterode am Harz
Schomberring 4066
23100 Viersen
Schottinweg 2997
94257 Pirmasens
Schottinweg 7/7
26754 Ansbach
Schuchhardtplatz 1/4
95839 Eisenhüttenstadt
Schuchhardtring 583
72897 Illertissen
Schuchhardtweg 626
52865 Pasewalk
Schusterring 23-20
37685 Regensburg
Schweitzerring 49/61
67414 Sankt Goarshausen
Schwitalallee 31
91606 Aurich
Schwitalgasse 690
65974 Wismar
Schönlandgasse 81-46
54752 Jessen
Schönlandstr. 247
52006 Eggenfelden
Schülergasse 71-70
89262 Pasewalk
Schülerstr. 142
84347 Malchin
Sedat-Caspar-Straße 932
46689 Fallingbostel
Sedat-Rose-Gasse 81
43039 Brilon
Segebahnring 2-7
27564 Böblingen
Seidelallee 63/41
78380 Säckingen
Seidelgasse 3215
66155 Mayen
Seidelstr. 9/7
73295 Wolfratshausen
Seifertring 7-7
78798 Illertissen
Seifertring 9
81594 Stuttgart
Seifertring 9/8
04809 Bad Freienwalde
Seifertstraße 2850
24368 Erfurt
Seifertweg 1
28648 Einbeck
Seifertweg 2626
63784 Aue
Seifertweg 80
22012 Wittstock
Seipstr. 9/3
78719 Saarbrücken
Seipstr. 91/50
01775 Kleve
Selim-Ladeck-Straße 1535
48514 Rehau
Senol-Höfig-Weg 93-21
56227 Stuttgart
Senol-Kreusel-Platz 9
47506 Rastatt
Sepp-Kobelt-Allee 279
75474 Miesbach
Sepp-Salz-Weg 76
92481 Jena
Sergei-Hornig-Ring 4
25574 Quedlinburg
Sergej-Drewes-Ring 9/2
16346 Warendorf
Sergio-Nerger-Ring 4449
49639 Bad Kreuznach
Sibilla-Haase-Weg 5557
55828 Bad Kreuznach
Sibille-Stiffel-Platz 32-76
06768 Weißwasser
Sieghard-Lindner-Allee 7/4
36008 Uelzen
Sieglinde-Jüttner-Straße 91
90074 Senftenberg
Siegmar-Schaaf-Ring 30
64451 Erding
Sigfried-Birnbaum-Gasse 220
59854 Göttingen
Siglinde-Hornich-Ring 3
27902 Altötting
Sigmar-Wulf-Gasse 85
36099 Regensburg
Sigrun-Dehmel-Straße 9825
45391 Borna
Sigrun-Dietz-Weg 6/6
64209 Hansestadttralsund
Silja-Bloch-Gasse 1
04084 Wolgast
Silva-Dippel-Platz 3659
31539 Halberstadt
Silvester-Wiek-Weg 0
53267 Büsingen am Hochrhein
Silvio-Margraf-Ring 92
00175 Ahaus
Simon-Jessel-Allee 36
13179 Weißwasser
Simon-Jockel-Ring 631
77473 Calau
Simona-Kranz-Ring 32-72
59920 Olpe
Simone-Pölitz-Gasse 27
20413 Koblenz
Slavko-Buchholz-Gasse 35/31
61558 Schlüchtern
Sontagallee 5-3
04216 Main-Höchst
Sontagring 6
87982 Bremen
Sontagring 864
00341 Artern
Sontagstr. 1-5
50004 Kleve
Sophie-Anders-Weg 6/7
04795 Eisenberg
Sorgatzplatz 9-3
30691 Hamburg
Sorgatzstraße 5
34222 Vohenstrauß
Sorgatzweg 54-60
86894 Kemnath
Speerring 59
93246 Perleberg
Speerring 6-8
77573 Staffelstein
Speerstraße 1
54398 Potsdam
Speerweg 7-3
07636 Freudenstadt
Speerweg 8800
64910 Bernburg
Spießgasse 20/15
20152 Neustrelitz
Spießgasse 86-77
25784 Heiligenstadt
Spießring 379
89867 Eberswalde
Spießstr. 5-8
64103 Niesky
Spießstraße 43
25708 Warendorf
Spießweg 46
91647 Schwerin
Spießweg 5/7
31450 Kaiserslautern
Stadelmannstr. 0
38859 Steinfurt
Stadelmannstr. 37/25
31006 Recklinghausen
Stadelmannstr. 7
74713 Potsdam
Stadelmannweg 62/26
57799 Ingolstadt
Stahrring 95
50690 Tecklenburg
Stanislav-Paffrath-Platz 944
62559 Belzig
Staudestr. 1/1
98577 Gotha
Staudeweg 1-3
42949 Fürstenwalde
Steckelallee 25-57
36925 Hohenstein-Ernstthal
Steckelring 622
76930 Mühldorf am Inn
Steckelstraße 79
65859 Beeskow
Steckelweg 5539
82118 Hammelburg
Stefanie-Boucsein-Weg 10
90410 Burgdorf
Steinberggasse 23-72
40895 Halberstadt
Steinberggasse 29/45
49723 Hannoversch Münden
Steinbergring 11-13
78646 Perleberg
Steinbergstr. 1-6
49819 Geldern
Stella-Schönland-Straße 652
95988 Neustadtner Waldnaab
Stephan-Roht-Weg 19/13
17756 Gadebusch
Stephan-Schenk-Platz 3/4
55998 Bruchsal
Stephen-Schönland-Ring 5744
58557 Konstanz
Stephen-Stey-Weg 533
52427 Schrobenhausen
Steuerstraße 4-4
97137 Vilsbiburg
Steuerweg 3039
98496 Werdau
Steyring 587
27750 Wiedenbrück
Stiebitzgasse 163
84369 Ochsenfurt
Stiebitzstraße 4-2
83354 Monschau
Stiebitzweg 2/1
70284 Riesa
Stiffelallee 34-21
99134 Backnang
Stiffelallee 9643
67518 Dachau
Stiffelgasse 81
13661 Oranienburg
Stilla-Stolze-Weg 4-1
00341 Rochlitz
Stjepan-Kuhl-Platz 63
41262 Lüdenscheid
Stjepan-Stadelmann-Allee 81/16
03592 Main-Höchst
Stollgasse 56-78
27563 Mellrichstadt
Stollplatz 39-90
61378 Germersheim
Stollplatz 73-17
98017 Meißen
Stollweg 47-45
06835 Kassel
Stolzestr. 7199
31235 Grevenbroich
Stolzeweg 2
84993 Grevesmühlen
Striebitzallee 8-4
69110 Kehl
