Abdullah-Rörricht-Platz 261
Wojciech-Karz-Gasse 2/9
Wolf-Dieter-Drub-Weg 13/12
Wolfgang-Kitzmann-Allee 715
Wulffallee 6/5
Wulffplatz 56-74
Wulffplatz 6/7
Wulffstr. 0
Wulffstraße 7329
Wulfgasse 2
Wulfgasse 35
Wulfgasse 9898
Wulfring 1936
Wähnerallee 39-90
Wähnerplatz 9205
Wähnerstr. 26/60
Xaver-Sauer-Weg 3/3
Yasemin-Ruppert-Weg 7/9
Yusuf-Henck-Ring 64/96
Yusuf-Noack-Gasse 397
Zahnallee 8205
Zahngasse 5/9
Zahnplatz 16/46
Zahnweg 1/8
Zbigniew-Walter-Allee 1
Zdravko-Mälzer-Ring 6720
Zdravko-Schönland-Weg 99-22
Zeynep-Atzler-Ring 5
Zeynep-Kohl-Straße 51/93
Ziegertallee 36
Ziegertgasse 5957
Ziegertstr. 4/9
Ziegertweg 2/9
Zimmerplatz 9
Zirmeallee 13
Zirmestraße 4/2
Zobelplatz 0
Zobelplatz 26/37
Zobelring 7860
Zobelstr. 3334
Zorbachgasse 4
Zorbachplatz 2/3
Zorbachstraße 4/9
Zorbachstraße 57-84
Zorbachweg 4018
Zänkerallee 6/3
Zänkerring 3/1
Zänkerstr. 546
Zänkerstraße 1
Zänkerweg 80-84
auch Schlauchinallee 25/94
auch Schlauchingasse 4
auch Schlauchinplatz 19-64
auch Schlauchinstr. 4-4
auch Schlauchinweg 487
van der Dussengasse 1830
van der Dussenstr. 29-55
van der Dussenstr. 6-7
Änne-Dietz-Platz 6/4
