Άγγελος Μωρός
Ρούσα-Τιμοθέα Ζερβά
Ρωμανός Λεβέντης
Ρωμανός-Σπυρίδων Γιαννακόπουλος
Ρωξάνη Κυρκούδη
Σάρρα Μαυρίδου
Σέργιος Τρεντσίου
Σέργιος-Θεοδόσης Κορδατζής
Σαββούλα Μητσοπούλου
Σαββούλα Τόλη
Σαλώμη Γιαννοπούλου
Σαλώμη Κυρκούδη
Σαλώμη-Ασημούλα Βαγενά
Σαλώμη-Συμεώνη Καραμανλή
Σαμουήλ Κωστούλας
Σαμουήλ Πετρόπουλος
Σεβαστή Μυτάρη
Σεβαστή Παπαχρήστου
Σεβαστή Σαββάκη
Σεβαστιανή Δρίβα
Σεβαστιανή Κωνσταντινίδου
Σεβαστιανή Μπακουλή
Σεβαστιανή Παράνου
Σεβαστιανός-Δωρόθεος Βάρσος
Σελήνη Αργυρίου
Σελήνη Καρακυρίου
Σεμίνα Κατσιγιάννη
Σεμίνα Μοσχοβάκη
Σεμίνα Σκοτάδη
Σεραφείμ Ζολώτας
Σεραφείμ Καρακυρίου
Σεραφείμ Κουτσογιάννης
Σιρανούς Γιαννακουδάκης
Σιρανούς Κουτσουλής
Σιρανούς Μπούκος
Σιρανούς Τραχίλης
Σιρανούς Τσότρας
Σμαράγδα Αγραφιώτη
Σμαράγδα Παπανικολάου
Σμαράγδα-Καλλίνικη Παπαδοπούλου
Σολομών Κωστάκης
Σολομών Στεργιούδης
Σουλτάνα Γρίβα
Σουλτάνα-Αντωνία Σκούμπρου
Σουμέλα Μπατζάνη
Σουμέλα Τσάτη
Σουμέλα Χιωτίδου
Σοφία Αγγελίδου
Σοφία Θασίτου
Σοφία Λιάκου
Σοφία Πουλιάση
Σοφία-Αποστολία Μποζίκη
Σοφοκλής Γεωργακόπουλος
Σοφοκλής Γούσιος
Σοφοκλής Χαβρεδάκης
Σοφοκλής Χατζηκύρκος
Σοφοκλής-Βικέντιος Καπατσώρης
Σπάρτη Ελευθερίου
Σπάρτη Μενγκ
Σπάρτη Ποσάντζη
Σπάρτη Πρέκα
Σπάρτη-Μάνθα Τσαμοπούλου
Σπήλιος Ιωσηφίδης
Σπήλιος Κωνσταντάς
Σπήλιος Κώττας
Σπήλιος Λάππας
Σπήλιος Τζαλλας
Σπυράννα Ξενίδη
Σπυράννα Στυλιανίδου
Σπυράννα-Ξένη Κωτσιονοπούλου
Σπυρίδων-Αντύπας Βώσσος
Σπυρίδων-Βενιζέλος Κοντοκώστας
Σπυριδούλα-Αγλαΐα Νικολοπούλου
Σπυριδούλα-Παρθένα Παπακώστα
Στέλλα Αβραμίδου
Στέλλα Φιλιάγκου
Στέλλιος Ασημόπουλος
Στέλλιος Σωτηράλης
Στέργιος Κωνσταντόπουλος
Στέργιος Ρίγκος
Στέργιος Ρουπακάς
Στέργιος Τσέλλος
Στέφανος Κουράκος
Στέφανος Ξηρός
Σταμάτης Γιαννακουδάκης
Σταμάτης Ζιώγος
Σταμάτης Παληός
Σταμάτιος Βούλγαρης
Σταμάτιος Μπουλούκος
Σταμάτιος Μποφός
Σταματίνα Μιχελακάκη
Στεργιανή Πατσουρέα
Στεργιαννώ Αγραφιώτη
Στεργιαννώ Σύψα
Στεργιαννώ Χαλκίδου
Στεφανία Μαυρίδου
Στυλιανή Βερβερίδου
Στυλιανή Καπουρνιώτη
Στυλιανή Χατζηβλασίου
Στυλιανός Αγγελίκας
Στυλιανός Σμπονιάς
Στυλιανός Στεργιούδης
Συμέλα Πουλιάση
Συμέλα-Εύκλεια Θεοδοσιάδου
Συμεωνία Τσετσέρη
Συμεών Αλατζάκης
Συμεών Αργυρής
Συμεών Πανούσης
Συμεών-Κλεόπας Χαραλάμπους
Συμεώνη Σκοτάδη
Συμεώνη Τζιγκούρα
Σωζούσα Λαλαούνη
Σωκράτης Μπακλάβας
Σωτήρης Κουρελής
Σωτήρης Κωσταλής
Σωτήρης-Ραφαήλ Τσότρας
Σωτήριος Γεννηματάς
Σωτήριος Κόλκας
Σωτήριος-Ιερεμίας Πιτσάκης
Σωτηρία Γεωργουλάκη
Σωτηρία Σκαβέντζου
Σωτηρία Τσίμη
Σωφρονία Καπουρνιώτη
Σόλων Βούλγαρης
Σόλων Μηλιώρης
Σόλων-Αθηναγόρας Παπαγιαννακόπουλος
Σώζων Αντωνέας
Σώζων Μανιώτης
Σώζων Μεϊμάρης
Σώζων Ψάλτης
Σώζων-Τηλέμαχος Κονδυλίδης
Τίμων Αντωνάκος
Τίμων Κουκουβίνος
Τίμων Συλλίγαρδος
Τίτος Τζαλλας
Ταξίαρχος Ασαρίδης
Ταξίαρχος Γιαννούκος
Ταξίαρχος Κούτρης
Ταξίαρχος Πάνος
Ταξιάρχης Ασαρίδης
Ταξιάρχης Κούτσικος
Ταξιαρχία Χρήστου
Τατιάνα Μαυρίδη
Τατιάνα Μιχελή
Τατιάνα Σαριδάκη
Τερψιχόρη Συβιλιά
Τζένη Βασιλειάδη
Τζένη Παυλάκη
Τζανέτος Ανδρουλιδάκης
Τζανέτος Αντωνάκος
Τζανέτος Αργυρόπουλος
Τζανέτος Εσπερίδης
Τζανέτος Ζηματίκας
Τζανέτος Μπέκος
Τηλέμαχος Βαβουλίδης
Τηλέμαχος Κριάλης
Τηλέμαχος Κωστόπουλος
Τηλέμαχος Μανούκας
Τηλέμαχος Τζουμάκης
Τιμοθέα Καψή
Τιμοθέα Μυλωνίδου
Τιμολέων Ρήγας
Τιμολέων Τζιόρτζιος
Τιμόθεος Γεντίμης
Τιμόθεος Δανελής
Τριαντάφυλλη Θωμάκου
Τριαντάφυλλος Γερόπουλος
Τριανταφυλλιά Αργυροπούλου
Τριανταφυλλιά Χαντζή
Τρισεύγενη Γκάγκα
Τρισεύγενη Φιλίππου
Τρυφωνία-Κλυταιμνήστρα Βερβίτη
Τρυφωνία-Κυριακή Λουμπούτσκου
Τρύφων Κτενίδης
Τρύφων Μάρρας
Τσαμπίκα Ζυγούρη
Τσαμπίκα Θεοδωροπούλου
Τσαμπίκα Χριστοφόρη
Τσαμπίκος Βαρακλής
Τσαμπίκος Τσώνης
Τσαμπίκος Χαρτερός
Τσαμπίκος-Νίκων Σπανός
Υάκινθος Γιατρομανωλάκης
Υάκινθος Δραζιώτης
Υάκινθος Κούτρης
Υάκινθος Ραχμανίδης
Υάκινθος Τζουμάκης
Υβόννη Κεσκίνη
Υπαπαντή Κετεσίδου
Υπαπαντή Μανοπούλου
Υπαπαντή Μωραΐτη
Υπαπαντή Παππά
Υπαπαντή Φαββάτα
Υπαπαντή-Κονδυλία Χανταμπή
Φίλιππος Βούλκος
Φίλιππος Κουτσουλής
Φίλιππος Μπαλτζής
Φίλιππος Χατζηγεωργίου
Φαίδρα Ασσαργιωτάκη
Φαίδρα Ζαρζάνη
Φαίδων Αγγελίκας
Φαίδων Εσπερίδης
Φανή Μανουσοπούλου
Φανή Τσαχάκη
Φανουρία Γεροκώστα
Φανουρία Πυροβόλου
Φανουρία Τσικνή
Φανουρία Χοντζιά
Φανούριος Αλατζάκης
Φανούριος Ισέρης
Φανούριος-Νικήτας Σταματιάδης
Φεβρωνία Δρακάκη
Φεβρωνία Μαγκανάρη
Φερενίκη Κατσαντώνη
Φερενίκη Μαργαρίτη
Φερενίκη Μηλιάκη
Φερενίκη Παυλή
Φερενίκη Τρομπούκη
Φιλήμων Κεχαγιάς
Φιλήμων Σπυρόπουλος
Φιλίππα Ναούμ
Φιλίππα Φωτιάδου
Φιλαρέτη Βασιλειάδη
Φιλαρέτη Μπαφίτη
Φιλιππία Γκόνη
Φιλιππία Γρίβα
Φιλιππία Ζαρειφοπούλου
Φιλιππία Φυτιλή
Φιλιώ Θωμάκου
Φιλιώ Τουρνά
Φιλιώ Χρήστου
Φιλιώ-Ευστρατία Τσαμτσούρη
Φιλοθέη Πολατίδου
Φιλοθέη Σπηλιάδου
Φιλομήλα Περουλάκη
Φιλομήλα Φαρμάκη
Φλοριάντ Αυγουστής
Φλοριάντ Γενετζάκης
Φλοριάντ Κελαϊδώνης
Φλοριάντ Μανελίδης
Φλοριάντ Μαντζουράνης
Φλοριάντ Παπαδόπουλος
Φλοριάντ-Ηρόδοτος Παρούσης
Φλοριάντ-Σεβαστιανός Τσακανίκας
Φλωρίνα Γούλα
Φλωρεντία Ζώη
Φλωρεντία Παπανάνου
Φλωρεντία Στρατογιάννη
Φλωρεντία-Βερόνικα Κουκουθάκη
Φλώρα Κουθούρη
Φλώρα Κουφάκη
Φλώρα Πολατίδου
Φλώρα Σεμπέπου
Φλώρα Τρομπούκη
Φοίβη Χατζηγεωργίου
Φοίβος Ζιώγος
Φοίβος Μπαλτζής
Φοίβος Παπαδάκης
Φοίβος Παρασκευόπουλος
Φοίβος Τσέλλος
Φοίβος Τσιατής
Φρίξος Κουτελιέρης
Φρίξος Τσεμπερλίδης
Φραγκίσκος Βούκας
Φραγκίσκος Ευστρατόπουλος
Φραγκίσκος Καστάνης
Φραγκίσκος Σμαρδάς
Φραγκίσκος-Διαμαντής Ζώτος
Φραντζέσκα Αργυροπούλου
Φραντζέσκα Δουκίδου
Φραντζέσκα Τζιγκούρα
Φρειδερίκη-Τσαμπίκα Τσαμπούρη
Φρειδερίκος Κούτσικος
Φρειδερίκος Μπαλτζής
Φρειδερίκος Μόναχας
Φρειδερίκος Ραχωβίτσας
Φρειδερίκος-Απόλλων Κασούτσας
Φωκάς-Ερρίκος Κακατσός
Φωκίων Αραμπατζής
Φωκίων Ασημακόπουλος
Φωκίων Μελιτσόπουλος
Φωτεινή Κλεινάκη
Φωτεινή Πανοπούλου
Φωτεινή Πετρίδου
Φωτεινή Τσουκιά
Φωτεινή-Κανέλλα Τρεντσίου
Φωτεινός Γραμματικόπουλος
Χάιδω Δαυίδ
Χάιδω Σπυριδάκη
Χάρις-Δαμιανός Λώλος
Χάρις-Δημόκριτος Παπαπανός
Χαρά Αγγελίδου
Χαρά Βαρσάμου
Χαρά Βράσκου
Χαρά Μανιάτη
Χαρά Ξυγκάκου
Χαράλαμπος Δουράνης
Χαράλαμπος Μανελίδης
Χαρίκλεια Γαβριηλίδη
Χαρίκλεια Ζαχαριουδάκη
Χαρίκλεια Πουρνάρα
Χαρίλαος Ρίσβας
Χαρίλαος Τζέκος
Χαρίτος Γεωργαλάς
Χαρίτος Μπραζιώτης
Χαραλαμπία Κοτρώτσου
Χαραλαμπία Λιναρδάκη
Χαραλαμπία Φίλκα
Χαραλαμπία-Αρέθα Σκαφτούρου
Χιονιά Παπανάνου
Χλόη Αθανασιάδου
Χλόη Λογκάκη
Χλόη-Δροσιά Δουκίδου
Χρήστος Δουλάμης
Χρήστος-Άρης Μίσχος
Χρήστος-Μαρτίνος Μπότης
Χρήστος-Ναπολέων Μιχαηλίδης
Χρίστος Μακαριάδης
Χρίστος Ρήγας
Χριστίνα Ρόγγα
Χριστίνα Σαρρή
Χριστίνα-Στεργιαννώ Λουμπούτσκου
Χριστιάν Αετόπουλος
Χριστιάνα-Σάρρα Δαμαλά
Χριστοδούλα Πισκοπάνη
Χριστοδούλα Τομπουλίδου
Χριστοφόρα Κανταρελή
Χριστοφόρα Κωτσιονοπούλου
Χριστοφόρα Μπαφίτη
Χριστοφόρα-Γερασιμούλα Κασσωτάκη
Χριστόδουλος Θεοδωρόπουλος
Χριστόδουλος Λαμπρινός
Χριστόδουλος Νικολόπουλος
Χριστόφιλη Πέττα
Χριστόφιλη Σιόλου
Χριστόφιλη Σταμούλη
Χριστόφιλη-Κωνσταντίνα Ντάνου
Χριστόφορος Κεσεμίδης
Χριστόφορος Λουπασάκης
Χριστόφορος Πανταζής
Χριστόφορος Σταυρόπουλος
Χριστόφορος-Σωκράτης Βλάχος
Χρυσάνθη Δερλώπα
Χρυσάνθη Διοπούλου
Χρυσάνθη Θεοδοσίου
Χρυσάνθη-Χρυσοβαλάντω Μπιμπίκα
Χρυσαυγή Γεωργακοπούλου
Χρυσαυγή Ευαγγελίδη
Χρυσαυγή Συνοδινού
Χρυσαυγή Τόλη
Χρυσαφένια Βαϊραμίδου
Χρυσαφένια Μαστραγγελή
Χρυσαφένια Σαρρή
Χρυσαφένια Τουλούπη
Χρυσαφένια Φουρκιώτη
Χρυσαφένια-Βάγια Μωραΐτη
Χρυσοβαλάντιος Γκιολδελής
Χρυσοβαλάντιος Καρούσος
Χρυσοβαλάντιος Ραφιός
Χρυσοβαλάντιος-Ελευθέριος Ανδρουλιδάκης
Χρυσοβαλάντου Μυλωνίδου
Χρυσοβαλάντου Τριφτανίδου
Χρυσοβαλάντω Γεωργακοπούλου
Χρυσοβαλάντω Χατζηφώτη
Χρυσοβαλάντω-Νίκη Βρακά
Χρυσοβαλάντω-Πολυχρονία Πατελλή
Χρυσούλα Κουφάκη
Χρυσούλα Κυριάκου
Χρυσούλα Ορφανίδου
Χρυσούλα Πατινιωτάκη
Χρυσούλα-Φανουρία Σκαφτούρου
Χρυσόστομη Γιακαμόζη
Χρυσόστομη Μαυραειδή
Χρυσόστομη-Θάλεια Γιανναρά
Χρυσόστομος Μπακλάβας
Χρυσόστομος Πιπερίγκος
Χρυσόστομος Πιτσάκης
Χρυσόστομος Σαλταούρας
Χρύσανθος Ζολώτας
Χρύσανθος Κατσαντώνης
Χρύσανθος Κουρκουτάς
