300 არაგველის ქ. 01, ტყვარჩელი
პატარძეულის ქ. 31, ჭიათურა
პატარძეულის ქ. 32, გაგრა
პატარძეულის ქ. 45, ახალციხე
პატარძეულის ქ. 55, აბაშა
პატარძეულის ქ. 71, წნორი
პეტეფი შანდორის ქ. 78, სენაკი
პეტრე იბერის ქ. 28, კასპი
პეტრე იბერის ქ. 29, გურჯაანი
პეტრე იბერის ქ. 34, ჭიათურა
პეტრე იბერის ქ. 37, მცხეთა
პეტრიაშვილის ქ. 01, წალენჯიხა
პეტრიაშვილის ქ. 46, გურჯაანი
პეტრიაშვილის ქ. 97, სიღნაღი
პეტრიწის ქ. 34, ბოლნისი
პეტრიწის ქ. 34, ვანი
პეტრიწის ქ. 72, ხობი
პიატიგორსკის ქ. 64, აბაშა
პიონერის ქ. 08, სენაკი
პისარევის ქ. 36, ფოთი
პლატონის ქ. 02, დუშეთი
პლატონის ქ. 12, ხობი
პლატონის ქ. 22, ონი
პლატონის ქ. 50, კასპი
პლატონის ქ. 60, ცხინვალი
პოლიტკოვსკაიას ქ. 77, ვანი
პუშკინი ალექსანდრეს ქ. 56, თეთრიწყარო
პუშკინი ალექსანდრეს ქ. 59, მცხეთა
პუშკინი ალექსანდრეს ქ. 65, ცხინვალი
ჟინვალის ქ. 68, ლაგოდეხი
ჟინვალის ქ. 89, ლანჩხუთი
ჟონეთის ქ. 87, ტყვარჩელი
ჟღენტის ქ. 14, სოხუმი
ჟღენტის ქ. 24, დედოფლისწყარო
ჟღენტის ქ. 43, დუშეთი
რადიანი შალვას ქ. 54, ბაღდათი
რადიანი შალვას ქ. 64, თბილისი
რადიანი შალვას ქ. 81, ფოთი
რაზიკაშვილის ქ. 01, ფოთი
რაზმაძის ქ. 26, წნორი
რაზმაძის ქ. 45, რუსთავი
რაზმაძის ქ. 87, გაგრა
რატევანის ქ. 31, ოზურგეთი
რატევანის ქ. 42, თეთრიწყარო
რაჭის ქ. 13, მარტვილი
რაჭის ქ. 15, ოჩამჩირე
რაჭის ქ. 75, აბაშა
რაჭის ქ. 78, თელავი
რევოლუცის ქ. 01, საჩხერე
რევოლუცის ქ. 12, ახმეტა
რევოლუცის ქ. 88, საჩხერე
რთველაძის ქ. 50, სენაკი
რიონის ქ. 02, ლაგოდეხი
რიონის ქ. 06, წალკა
რიონის ქ. 58, ყვარელი
რიონის ქ. 85, გუდაუთა
რიონის ქ. 94, საგარეჯო
რიონჰესის ქ. 14, ზესტაფონი
რიონჰესის ქ. 44, დმანისი
რიონჰესის ქ. 62, გარდაბანი
რიონჰესის ქ. 78, დედოფლისწყარო
რიონჰესის ქ. 86, ზუგდიდი
რკინის ქ. 67, სოხუმი
როდენის ქ. 51, ყვარელი
რომის ქ. 68, ხობი
რომის ქ. 76, წალენჯიხა
როსტოვის ქ. 37, ლანჩხუთი
როსტოვის ქ. 37, ყვარელი
როსტოვის ქ. 70, ახალქალაქი
როსტოვის ქ. 81, ჭიათურა
როსტომაშვილის ქ. 75, სოხუმი
როსტომაშვილის ქ. 76, დმანისი
როსტომაშვილის ქ. 84, გორი
როსტომაშვილის ქ. 92, ბათუმი
რუისპირის ქ. 10, ჭიათურა
რუსთაველის ქ. 27, ზესტაფონი
რუსთაველის ქ. 27, წყალტუბო
რჩეულიშვილის ქ. 15, ვალე
რჩეულიშვილის ქ. 22, ქობულეთი
რჩეულიშვილის ქ. 39, დმანისი
რჩეულიშვილის ქ. 71, გურჯაანი
რჩეულიშვილის ქ. 81, გაგრა
საადის ქ. 79, ახალი ათონი
სააკაძე პაატას ქ. 05, წალენჯიხა
სააკაძე პაატას ქ. 71, გარდაბანი
სააკაძის ქ. 52, ვანი
სააკაძის ქ. 71, სამტრედია
სააკაძის ქ. 76, ცაგერი
საარბრჯუკენის ქ. 10, მცხეთა
საარბრჯუკენის ქ. 21, ლაგოდეხი
საარბრჯუკენის ქ. 54, სენაკი
საბადურის ქ. 04, აბაშა
საბანისძის ქ. 19, ოზურგეთი
საბანისძის ქ. 84, სამტრედია
საბანისძის ქ. 95, ხაშური
საბაშვილის ქ. 87, ზესტაფონი
საგარეჯოს ქ. 02, სენაკი
საგარეჯოს ქ. 38, ხონი
საგარეჯოს ქ. 46, ხობი
საგარეჯოს ქ. 58, ცხინვალი
საგარეჯოს ქ. 85, ონი
საგურამოს ქ. 43, წალკა
საგურამოს ქ. 47, სოხუმი
სადმელის ქ. 74, ქობულეთი
სადმელის ქ. 77, ფოთი
სავანელის ქ. 60, ლაგოდეხი
სათემოს ქ. 06, ონი
სათემოს ქ. 08, ვალე
სათემოს ქ. 26, ვანი
სათემოს ქ. 83, გორი
საიათნოვას ქ. 60, დმანისი
საირმის ქ. 65, ხაშური
სალამის ქ. 06, თეთრიწყარო
სალამის ქ. 14, ქუთაისი
სალამის ქ. 75, ნინოწმინდა
სალხინოს ქ. 65, ყვარელი
სალხინოს ქ. 77, ბოლნისი
სამამულო ომის გმირების ქ. 09, წალენჯიხა
სამამულო ომის გმირების ქ. 12, დმანისი
სამამულო ომის გმირების ქ. 13, მარნეული
სამამულო ომის გმირების ქ. 15, სოხუმი
სამამულო ომის გმირების ქ. 44, დმანისი
სამამულო ომის გმირების ქ. 72, გალი
სამგორის ქ. 75, ხობი
სამტრედიის ქ. 89, ნინოწმინდა
სამურზაყანოს ქ. 30, ტყვარჩელი
სამღებროს ქ. 31, ლაგოდეხი
სამღებროს ქ. 82, ცაგერი
სამღერეთის ქ. 48, დმანისი
სამღერეთის ქ. 56, მარტვილი
სამშვილდეს ქ. 59, დედოფლისწყარო
სანავარდოს ქ. 23, ხობი
სანდრო ეულის ქ. 36, საგარეჯო
სანდრო ეულის ქ. 37, ოზურგეთი
სანდრო ეულის ქ. 82, სოხუმი
სანდრო ეულის ქ. 98, აბაშა
სანკტ-პეტერბურგის ქ. 02, ბაღდათი
სანკტ-პეტერბურგის ქ. 40, თელავი
სანკტ-პეტერბურგის ქ. 98, წნორი
სარაჯიშვილი დავითის ქ. 11, რუსთავი
სართანიას ქ. 11, გურჯაანი
სართანიას ქ. 14, ბოლნისი
სართიჭალის ქ. 18, გუდაუთა
სართიჭალის ქ. 67, ბათუმი
სართიჭალის ქ. 72, ფოთი
სართიჭალის ქ. 78, დუშეთი
სარკინეთის ქ. 20, თბილისი
სარკინეთის ქ. 30, ქარელი
სარკინეთის ქ. 69, ყვარელი
სარკინეთის ქ. 70, ხობი
სარკინეთის ქ. 75, წყალტუბო
სარკინეთის ქ. 85, ოჩამჩირე
საქანელას ქ. 34, გუდაუთა
საქანელას ქ. 61, თელავი
საქარის ქ. 13, წყალტუბო
საქარის ქ. 23, აბაშა
საქარის ქ. 36, ხობი
საქარის ქ. 53, ცაგერი
საქარის ქ. 78, ხონი
საქარის ქ. 84, ქუთაისი
საყვირის ქ. 28, ტყვარჩელი
საყვირის ქ. 29, აბაშა
საჩხერის ქ. 06, ახალი ათონი
საჩხერის ქ. 42, წალკა
საჩხერის ქ. 49, ფოთი
საჩხერის ქ. 99, წნორი
საცხენისის ქ. 99, გურჯაანი
საჭილაოს ქ. 40, ონი
საჭილაოს ქ. 40, სოხუმი
სახოკიას ქ. 16, ბოლნისი
სევანის ქ. 63, ხონი
სევანის ქ. 96, ჯვარი
სენაკის ქ. 97, გორი
სვირის ქ. 11, ზესტაფონი
სვირის ქ. 16, მცხეთა
სვირის ქ. 97, ქარელი
სიონის ქ. 28, ბოლნისი
სიონის ქ. 91, ბოლნისი
სიღნაღის ქ. 49, ახმეტა
სიღნაღის ქ. 57, ახმეტა
სიღნაღის ქ. 86, გაგრა
სიხარულიძის ქ. 68, ხობი
სკოლის ქ. 79, ოჩამჩირე
სომხეთის ქ. 49, წყალტუბო
სომხეთის ქ. 85, თელავი
სოღანლუღის ქ. 06, წალენჯიხა
სოღანლუღის ქ. 17, გორი
სოღანლუღის ქ. 76, გორი
სოხუმის ქ. 50, ტყვარჩელი
სოხუმის ქ. 69, გაგრა
სოხუმის ქ. 98, გუდაუთა
სპანდარიანის ქ. 21, ახალქალაქი
სპანდარიანის ქ. 79, დმანისი
სპარტაკის ქ. 02, დმანისი
სპარტაკის ქ. 38, ტყვარჩელი
სპარტაკის ქ. 51, ხობი
სპარტაკის ქ. 59, წალკა
სპარტაკის ქ. 70, ახალქალაქი
სპარტაკის ქ. 72, ქარელი
სტამბის ქ. 28, სენაკი
სტანისლავსკის ქ. 22, ბოლნისი
სტანისლავსკის ქ. 80, ცხინვალი
სტურუას ქ. 34, ნინოწმინდა
სტურუას ქ. 37, ყვარელი
სტურუას ქ. 51, ბათუმი
სტურუას ქ. 66, ცხინვალი
სუვოროვის ქ. 19, გორი
სულიაშვილის ქ. 63, გალი
სულიაშვილის ქ. 69, ბაღდათი
სულიაშვილის ქ. 71, წყალტუბო
სულხან-საბას ქ. 34, ტყვარჩელი
სულხან-საბას ქ. 86, სენაკი
სულხანიშვილის ქ. 27, ფოთი
სულხანიშვილის ქ. 44, ქარელი
სუმბატაშვილ-იუჟინსკის ქ. 42, ლანჩხუთი
სუმბატაშვილ-იუჟინსკის ქ. 48, ვალე
სურამის ქ. 32, ვანი
სურამის ქ. 42, ზესტაფონი
სურამის ქ. 60, ონი
სურამის ქ. 70, საჩხერე
სხვიტორის ქ. 73, სოხუმი
სხირტლაძის ქ. 56, საჩხერე
სხულუხიას ქ. 74, დმანისი
ტაბახმელას ქ. 11, თერჯოლა
ტაბახმელას ქ. 46, თეთრიწყარო
ტაბახმელას ქ. 76, წყალტუბო
ტაბახმელას ქ. 81, ახმეტა
ტაბახმელას ქ. 93, ოზურგეთი
ტაბიძე ტიციანის ქ. 88, ფოთი
ტაბიძე ტიციანის ქ. 98, ტყიბული
ტანძიის ქ. 01, თეთრიწყარო
ტარიელის ქ. 19, ახალქალაქი
ტატიშვილი ერეკლეს ქ. 47, ონი
ტატიშვილი ერეკლეს ქ. 85, დუშეთი
ტატიშვილის ქ. 35, მცხეთა
ტატიშვილის ქ. 74, ზესტაფონი
ტაშირის ქ. 67, გუდაუთა
ტაშირის ქ. 72, ზუგდიდი
ტაშკენტის ქ. 16, ქუთაისი
ტელეგრაფის ქ. 06, სოხუმი
ტელეგრაფის ქ. 89, ახმეტა
ტეტელაშვილის ქ. 68, ქარელი
ტეტელაშვილის ქ. 92, წალკა
ტეხურის ქ. 49, სოხუმი
ტეხურის ქ. 79, ზუგდიდი
ტეხურის ქ. 95, კასპი
ტვიშის ქ. 16, მცხეთა
ტვიშის ქ. 31, ქუთაისი
ტიბაანის ქ. 66, მარნეული
ტიბაანის ქ. 87, წალკა
ტიბაანის ქ. 88, წალკა
ტიბაანის ქ. 91, ხონი
ტიულენევის ქ. 65, ვალე
ტიულენევის ქ. 81, ახალი ათონი
ტოლენჯის ქ. 89, წალენჯიხა
ტოლენჯის ქ. 98, კასპი
ტოლსტოის ქ. 05, მცხეთა
ტოლსტოის ქ. 08, ოჩამჩირე
ტოლსტონოგოვის ქ. 69, ბათუმი
ტრაქტორის ქ. 08, ზესტაფონი
ტრაქტორის ქ. 35, დმანისი
ტრაქტორის ქ. 53, ხონი
ტურგენევის ქ. 00, მცხეთა
ტურგენევის ქ. 34, ზუგდიდი
ტურგენევის ქ. 49, ლანჩხუთი
ტურგენევის ქ. 51, კასპი
ტუსკიას ქ. 01, ჭიათურა
ტუსკიას ქ. 07, ახალციხე
ტუსკიას ქ. 15, სიღნაღი
ტყავის ქ. 12, ლაგოდეხი
ტყავის ქ. 81, ყვარელი
ტყეკულტურის ქ. 27, ტყიბული
ტყვარჩელის ქ. 08, ქარელი
ტყვარჩელის ქ. 72, ბოლნისი
ტყვიავის ქ. 18, ახმეტა
ტყვიავის ქ. 99, ტყვარჩელი
ტყიბულის ქ. 08, სოხუმი
ტყიბულის ქ. 74, ახალციხე
უბილავას ქ. 24, ჯვარი
უბილავას ქ. 85, საჩხერე
უზნაძე დიმიტრის ქ. 49, ონი
უზნაძის ქ. 28, დმანისი
უიარაღოს ქ. 10, ტყიბული
უნივერსიტეტის ქ. 41, ბაღდათი
ურბნისის ქ. 07, დუშეთი
ურეკის ქ. 39, ლაგოდეხი
ურეკის ქ. 45, თეთრიწყარო
ურეკის ქ. 91, ფოთი
ურიცკის ქ. 88, ზუგდიდი
უფლისციხის ქ. 33, რუსთავი
უფლისციხის ქ. 67, სოხუმი
უშაკოვის ქ. 10, ახალქალაქი
უშაკოვის ქ. 26, ცხინვალი
უშაკოვის ქ. 39, საგარეჯო
უშაკოვის ქ. 64, გაგრა
უშაკოვის ქ. 81, ქუთაისი
უჩანეიშვილი ირაკლის ქ. 43, თეთრიწყარო
უჩანეიშვილი ირაკლის ქ. 81, ონი
უწერის ქ. 38, გაგრა
ფაბრიკის ქ. 35, ოზურგეთი
ფალიაშვილის ქ. 11, აბაშა
ფალიაშვილის ქ. 30, ქუთაისი
ფანასკერტელ-ციციშვილის ქ. 27, სოხუმი
ფანასკერტელ-ციციშვილის ქ. 44, ცაგერი
ფანასკერტელ-ციციშვილის ქ. 46, ბაღდათი
ფანასკერტელ-ციციშვილის ქ. 83, ბოლნისი
ფანჯიკიძის ქ. 67, ბაღდათი
ფანჯიკიძის ქ. 94, ქობულეთი
ფარავნის ქ. 41, სოხუმი
ფარავნის ქ. 48, ქუთაისი
ფარავნის ქ. 55, ბოლნისი
ფასანაურის ქ. 87, ოჩამჩირე
ფასანაურის ქ. 99, ზუგდიდი
ფაღავა ირაკლის ქ. 37, ოჩამჩირე
ფაღავა ირაკლის ქ. 39, გარდაბანი
ფერისცვალების ქ. 23, ფოთი
ფილიას ქ. 09, ბაღდათი
ფიროსმანის ქ. 59, სიღნაღი
ფიფიას ქ. 14, წალკა
ფოთის ქ. 21, გურჯაანი
ფოთის ქ. 28, ბაღდათი
ფოთის ქ. 72, ბაღდათი
ფოსტის ქ. 59, კასპი
ფოსტის ქ. 77, ახმეტა
ფოცხვერაშვილის ქ. 15, ლაგოდეხი
ფოცხვერაშვილის ქ. 58, ჯვარი
ფოცხიაშვილი მორისის ქ. 02, სამტრედია
ფოცხიაშვილი მორისის ქ. 40, თელავი
ფოცხიაშვილი მორისის ქ. 44, დედოფლისწყარო
ფურცელაძის ქ. 29, თეთრიწყარო
ფურცელაძის ქ. 35, ცაგერი
ფურცელაძის ქ. 39, ყვარელი
ფურცელაძის ქ. 66, ტყვარჩელი
ფურცელაძის ქ. 91, ჭიათურა
ქავთარაძის ქ. 28, ბოლნისი
ქავთარაძის ქ. 63, ბოლნისი
ქავთარაძის ქ. 94, ბოლნისი
ქარელის ქ. 82, გარდაბანი
ქართველიშვილი ლევანის ქ. 24, საჩხერე
ქართველიშვილი ლევანის ქ. 56, დმანისი
ქართველიშვილი ლევანის ქ. 98, ცხინვალი
ქართლის ქ. 42, ნინოწმინდა
ქართლის ქ. 90, ცხინვალი
ქართლის ქ. 92, ტყვარჩელი
ქებურიას ქ. 30, წნორი
ქებურიას ქ. 35, საგარეჯო
ქებურიას ქ. 44, ჯვარი
ქებურიას ქ. 69, ყვარელი
ქედის ქ. 16, ქარელი
ქედის ქ. 93, თეთრიწყარო
ქერჩის ქ. 03, მცხეთა
ქერჩის ქ. 52, ნინოწმინდა
ქერჩის ქ. 56, ახალი ათონი
ქვალონის ქ. 33, ოჩამჩირე
ქვალონის ქ. 80, ბოლნისი
ქვიშხეთის ქ. 60, გორი
ქვიშხეთის ქ. 60, ქობულეთი
ქვიშხეთის ქ. 73, ცაგერი
ქიაჩელის ქ. 14, ზუგდიდი
ქიაჩელის ქ. 57, დმანისი
ქიაჩელის ქ. 93, ზესტაფონი
ქიზიყის ქ. 42, თეთრიწყარო
ქიზიყის ქ. 81, ხაშური
ქინქლაძე ოთარის ქ. 28, ლანჩხუთი
ქინქლაძე ოთარის ქ. 81, აბაშა
ქინძმარაულის ქ. 05, სენაკი
ქინძმარაულის ქ. 46, ჭიათურა
ქიქოძე გერონტის ქ. 50, მარტვილი
ქობულაძის ქ. 09, ვანი
ქობულაძის ქ. 53, წნორი
ქობულაძის ქ. 97, თელავი
ქობულეთის ქ. 35, ბორჯომი
ქობულეთის ქ. 96, გალი
ქსნის ქ. 32, ბოლნისი
ქსნის ქ. 52, ოზურგეთი
ქსოვრელის ქ. 10, ჭიათურა
ქსოვრელის ქ. 53, მარნეული
ქსოვრელის ქ. 84, გორი
ქსოვრელის ქ. 86, რუსთავი
ქსოვრელის ქ. 97, დმანისი
ქუთათელაძე აპოლონის ქ. 74, გუდაუთა
ქუთათელაძე აპოლონის ქ. 88, ჯვარი
ქუთათელაძის ქ. 04, ოჩამჩირე
ქუთათელაძის ქ. 94, ლანჩხუთი
ქუთაისის ქ. 15, მარტვილი
ქუთაისის ქ. 67, დუშეთი
ქუთაისის ქ. 97, ნინოწმინდა
ქურდიანი არჩილის ქ. 89, ზესტაფონი
ქურდიანი ზაქარიას ქ. 34, სოხუმი
ქურდიანი ზაქარიას ქ. 98, ფოთი
ქუჩიშვილის ქ. 98, გარდაბანი
ღამბაშიძის ქ. 10, ლაგოდეხი
ღამბაშიძის ქ. 16, ბოლნისი
ღამბაშიძის ქ. 91, წალენჯიხა
ღრმაღელეს ქ. 03, სამტრედია
ღრმაღელეს ქ. 27, ვალე
ღრმაღელეს ქ. 54, წნორი
ღრმაღელეს ქ. 64, ჯვარი
ღუდუშაური ოთარის ქ. 75, ცაგერი
ყავლაშვილი შოთას ქ. 21, ჭიათურა
ყავლაშვილი შოთას ქ. 28, წყალტუბო
ყარყარაშვილის ქ. 22, ბაღდათი
ყარყარაშვილის ქ. 80, მცხეთა
ყარყარაშვილის ქ. 95, მცხეთა
ყვარელის ქ. 15, წყალტუბო
ყვარელის ქ. 56, თელავი
ყვარელის ქ. 90, ვალე
ყირიმის ქ. 25, ონი
ყირიმის ქ. 50, თელავი
ყიფიანის ქ. 29, სოხუმი
ყიფიანის ქ. 36, აბაშა
ყიფიანის ქ. 54, ბორჯომი
ყიფშიძის ქ. 02, ქობულეთი
ყიფშიძის ქ. 44, ახმეტა
ყიფშიძის ქ. 51, გურჯაანი
ყუშიტაშვილის ქ. 51, ლანჩხუთი
ყუშიტაშვილის ქ. 84, ოზურგეთი
ყუშიტაშვილის ქ. 86, სოხუმი
შავგულიძის ქ. 93, ნინოწმინდა
შავგულიძის ქ. 94, ლანჩხუთი
შავი ზღვის ქ. 44, ონი
შავიშვილის ქ. 41, სიღნაღი
შავიშვილის ქ. 45, ქობულეთი
შავიშვილის ქ. 72, ოზურგეთი
შავნაბადას ქ. 69, დმანისი
შავსოფელის ქ. 11, ქობულეთი
შავსოფელის ქ. 55, რუსთავი
შავსოფელის ქ. 56, თელავი
შანიძე აკაკის ქ. 05, ცაგერი
შანიძე აკაკის ქ. 98, გუდაუთა
შანშიაშვილის ქ. 22, მარტვილი
შანშიაშვილის ქ. 60, ონი
შანშიაშვილის ქ. 66, ნინოწმინდა
შანშიაშვილის ქ. 92, ბოლნისი
შარაშიძის ქ. 53, გარდაბანი
შარდენის ქ. 16, გარდაბანი
შარდენის ქ. 56, თელავი
შარტავა ჟიულის ქ. 09, გალი
შატბერაშვილის ქ. 27, მარტვილი
შატბერაშვილის ქ. 63, თერჯოლა
შატბერაშვილის ქ. 71, ყვარელი
შატილის ქ. 21, ცხინვალი
შატილის ქ. 57, თეთრიწყარო
შაქრიანის ქ. 67, ბოლნისი
შაქრიანის ქ. 85, ვანი
შევჩენკო ტარასის ქ. 27, ოზურგეთი
შევჩენკო ტარასის ქ. 34, ხობი
შენგელაიას ქ. 40, ამბროლაური
შენგელაიას ქ. 97, ვალე
შილდის ქ. 45, სენაკი
შილდის ქ. 46, სამტრედია
შინდისის ქ. 12, დედოფლისწყარო
შინდისის ქ. 45, ვალე
შინდისის ქ. 59, თერჯოლა
შიო მღვიმელის ქ. 33, ცაგერი
შიო მღვიმელის ქ. 34, ბოლნისი
შიო მღვიმელის ქ. 99, ყვარელი
შირაქის ქ. 24, მარნეული
შოვის ქ. 35, მარტვილი
შოვის ქ. 55, რუსთავი
შოვის ქ. 96, ხონი
შორაპნის ქ. 43, გუდაუთა
შორაპნის ქ. 60, ვალე
შროშის ქ. 24, მარნეული
შროშის ქ. 60, გუდაუთა
შუამთის ქ. 34, წნორი
შუამთის ქ. 64, გარდაბანი
შურდულის ქ. 02, აბაშა
ჩანჩიბაძის ქ. 08, წალკა
ჩარგლის ქ. 09, ვალე
ჩარგლის ქ. 13, დმანისი
ჩარგლის ქ. 52, ჯვარი
ჩარგლის ქ. 99, ხაშური
ჩარხის ქ. 38, წნორი
ჩაქვის ქ. 45, სოხუმი
ჩაქვის ქ. 61, დმანისი
ჩაჩავას ქ. 25, ლანჩხუთი
ჩაჩავას ქ. 31, მარნეული
ჩაჩავას ქ. 44, ფოთი
ჩახრუხაძის ქ. 81, ტყვარჩელი
ჩერნიშევსკის ქ. 21, ჯვარი
ჩერქეზიშვილის ქ. 03, ნინოწმინდა
ჩერქეზიშვილის ქ. 09, ლანჩხუთი
ჩერქეზიშვილის ქ. 43, ახალი ათონი
ჩეჩელაშვილის ქ. 64, ვანი
ჩეხოვის ქ. 17, ხაშური
ჩეხოვის ქ. 19, ახალი ათონი
ჩეხოვის ქ. 68, ბოლნისი
ჩიკვანიას ქ. 72, ლაგოდეხი
ჩიტაიას ქ. 53, საგარეჯო
ჩიტაიას ქ. 89, ქუთაისი
ჩიტაიას ქ. 94, გაგრა
ჩიქობავა არნოლდის ქ. 06, ახალციხე
ჩიქობავა არნოლდის ქ. 35, სამტრედია
ჩიქოვანის ქ. 12, ვანი
ჩიქოვანის ქ. 84, ტყვარჩელი
ჩკალოვის ქ. 79, ლანჩხუთი
ჩოჩუას ქ. 01, თერჯოლა
ჩოჩუას ქ. 74, ლანჩხუთი
ჩოჩუას ქ. 83, აბაშა
ჩოჩუას ქ. 98, კასპი
ჩოხატაურის ქ. 11, აბაშა
ჩოხატაურის ქ. 36, ქობულეთი
ჩოხატაურის ქ. 62, ზესტაფონი
ჩოხელის ქ. 07, ტყიბული
ჩოხელის ქ. 13, ხობი
ჩუბინიძის ქ. 36, ახალი ათონი
ჩუბინიძის ქ. 95, ხონი
ჩუბინიძის ქ. 97, ლანჩხუთი
ჩხიკვაძის ქ. 34, გაგრა
ჩხიკვაძის ქ. 47, თბილისი
ჩხიკვაძის ქ. 71, ტყვარჩელი
ცაგარელი არჩილის ქ. 28, ხაშური
ცაგარელი არჩილის ქ. 74, ზუგდიდი
ცაგარელი არჩილის ქ. 90, სიღნაღი
ცაგერის ქ. 23, ცხინვალი
ცაგერის ქ. 62, სოხუმი
ცაგერის ქ. 73, ხონი
ცაიშის ქ. 05, ფოთი
ცაიშის ქ. 25, წნორი
ცაიშის ქ. 28, ცხინვალი
ცაიშის ქ. 71, ტყიბული
ცაიშის ქ. 77, ხაშური
ცაიშის ქ. 88, ამბროლაური
ცემის ქ. 41, ზესტაფონი
ციმაკურიძის ქ. 72, ჯვარი
ცინცაძე კალისტრატეს ქ. 30, გურჯაანი
ცინცაძე კალისტრატეს ქ. 35, ახალი ათონი
ცისკრის ქ. 47, ტყვარჩელი
ცისკრის ქ. 91, გუდაუთა
ციხისძირის ქ. 34, ბორჯომი
ციხისძირის ქ. 40, ოზურგეთი
ციხისძირის ქ. 96, მარნეული
ცოდნისკარის ქ. 58, ბაღდათი
ცოდნისკარის ქ. 60, ახალი ათონი
ცოდნისკარის ქ. 63, სენაკი
ცურტაველი იაკობის ქ. 02, ტყიბული
ცურტაველი იაკობის ქ. 22, თელავი
ცურტაველი იაკობის ქ. 64, ცაგერი
ცურტაველი იაკობის ქ. 84, ტყიბული
ცუცქირიძის ქ. 14, ბორჯომი
ცხემის ქ. 82, აბაშა
ცხვედაძის ქ. 33, ხაშური
ცხვედაძის ქ. 34, ბათუმი
ცხვედაძის ქ. 66, ლანჩხუთი
ცხრა აპრილის ქ. 50, ხონი
ძევერის ქ. 30, თერჯოლა
ძევერის ქ. 33, ხაშური
ძევერის ქ. 91, ოზურგეთი
ძმობის ქ. 04, სენაკი
ძმობის ქ. 28, მარნეული
ძმობის ქ. 49, ჯვარი
ძმობის ქ. 77, გორი
ძმობის ქ. 95, ბათუმი
ძოწენიძის ქ. 81, ქუთაისი
ძოწენიძის ქ. 82, ბოლნისი
წავკისის ქ. 50, მარნეული
წავკისის ქ. 61, ახალქალაქი
წავკისის ქ. 95, დმანისი
წალენჯიხის ქ. 23, წნორი
წალენჯიხის ქ. 48, აბაშა
წალენჯიხის ქ. 72, ვალე
წერონისის ქ. 70, ქუთაისი
წერონისის ქ. 96, თეთრიწყარო
წინამძღვრიშვილის ქ. 19, სენაკი
წინამძღვრიშვილის ქ. 27, ბორჯომი
წინამძღვრიშვილის ქ. 35, ხობი
წინამძღვრიშვილის ქ. 42, ახალი ათონი
წინამძღვრიშვილის ქ. 54, გაგრა
წინამძღვრიშვილის ქ. 58, ფოთი
წინამძღვრიშვილის ქ. 83, გარდაბანი
წინანდლის ქ. 20, საგარეჯო
წინანდლის ქ. 33, გალი
წინანდლის ქ. 43, გურჯაანი
წინანდლის ქ. 49, ნინოწმინდა
წინანდლის ქ. 50, ბაღდათი
წინანდლის ქ. 62, ლანჩხუთი
წიწამურის ქ. 76, ბოლნისი
წმ. ნიკოლოზის ქ. 23, ოჩამჩირე
წმ. ნიკოლოზის ქ. 48, საჩხერე
წმ. ნიკოლოზის ქ. 71, ტყვარჩელი
წნორისწყლის ქ. 17, მარტვილი
წნორისწყლის ქ. 60, თელავი
წნორისწყლის ქ. 73, ბათუმი
წრომის ქ. 03, ბორჯომი
წრომის ქ. 20, ჭიათურა
წულუკიძის ქ. 93, გუდაუთა
წურწუმიას ქ. 45, ბაღდათი
წუწუნავას ქ. 24, ონი
წუწუნავას ქ. 64, სამტრედია
წუწხვატის ქ. 38, ბოლნისი
წუწხვატის ქ. 56, სოხუმი
წუწხვატის ქ. 84, სენაკი
წყალსადენის ქ. 13, ნინოწმინდა
წყალსადენის ქ. 56, ჯვარი
წყალსადენის ქ. 76, სიღნაღი
წყალტუბოს ქ. 03, ოზურგეთი
წყაროს ქ. 05, ტყვარჩელი
წყაროს ქ. 20, ლაგოდეხი
წყაროს ქ. 72, ჭიათურა
წყაროს ქ. 76, წალენჯიხა
წყაროს ქ. 93, ფოთი
ჭავჭავაძე ალექსანდრეს ქ. 23, ვანი
ჭავჭავაძე ალექსანდრეს ქ. 69, გურჯაანი
ჭავჭავაძე ალექსანდრეს ქ. 70, ხაშური
ჭავჭავაძე ზურაბის ქ. 27, კასპი
ჭავჭავაძე ზურაბის ქ. 48, წალენჯიხა
ჭავჭავაძე ზურაბის ქ. 59, წალკა
ჭავჭავაძე ზურაბის ქ. 75, სენაკი
ჭავჭავაძე ზურაბის ქ. 97, ოზურგეთი
ჭალადიდის ქ. 02, ვანი
ჭალადიდის ქ. 20, ქობულეთი
ჭალადიდის ქ. 25, მცხეთა
ჭალადიდის ქ. 64, ჭიათურა
ჭანტურია გიას ქ. 84, ქობულეთი
ჭიაურელი მიხეილის ქ. 28, ჯვარი
ჭიჭინაძე ზაქარიას ქ. 18, მარნეული
ჭიჭინაძე ზაქარიას ქ. 40, მცხეთა
ჭიჭინაძე ზაქარიას ქ. 73, ქარელი
ჭოველიძე თამარის ქ. 08, ბათუმი
ჭოველიძე თამარის ქ. 16, საჩხერე
ჭოველიძე თამარის ქ. 76, ჯვარი
ჭონქაძე დანიელის ქ. 76, წყალტუბო
ჭოპორტის ქ. 71, ლანჩხუთი
ჭოროხის ქ. 74, მარნეული
ჭოროხის ქ. 92, ხაშური
ჭრელაშვილის ქ. 44, ხობი
ხაბეიშვილის ქ. 10, ახალციხე
ხაბეიშვილის ქ. 44, სენაკი
ხაბეიშვილის ქ. 63, ხაშური
